page,num,sub,pos,ctx,title,resolves,overlap
README.md,414,,15194," needs ≥8 blocks; the two requirements exclude each other.** So this is a named wall, not an undone task. ⚠ **`#414`: and there is a second wall, of a different kind — the category level",类别层有一堵结构性的墙:31 个类别就是整个仪器,1,0
README.md,298,,16251,"tion across all 31 is **+0.074**. **The two ends of a 31-point ordering are its noise, not its shape.**** ⚠ **`#298`–`#299`: the two readings cannot be separated on this data.** Rarity r","羞耻跟的是东西本身冷门,不是「我跟身边的人不一样」",1,0
README.md,299,,16258,"ross all 31 is **+0.074**. **The two ends of a 31-point ordering are its noise, not its shape.**** ⚠ **`#298`–`#299`: the two readings cannot be separated on this data.** Rarity recomput","可分性提高了,而差没有;`#298a` 的方向性读法不过规格曲线",1,0
README.md,304,,17073,"he full option set, where the two definitions are 90% the same quantity — it does not survive the grid.** ⚠ **`#304`: and the two routes are not equally solid objects.** Split the respon","`c3` 是一条真的轴,但比 `S` 软得多",1,0
README.md,308,,17645,"'s figure only 0.039. ⚠ Half-sample |cos| **understates** the stability of the released n=6,717 estimate. ⚠ **`#308`: and in a single person the two routes ADD.** Split at the medians, m","羞耻的两条路在同一个人身上是**相加**,而这是一个有功效的零",1,0
README.md,311,,18415,"l carries its own resolution: **MDE = 0.038** against a meaningful interaction of ~0.05 (half a main effect). `#311`: and nothing buffers it.** Age, openness, a non-monogamous relationsh","四个「本该缓冲」的变量合起来也没有在缓冲,而这次有功效",1,0
README.md,384,,19036," power**: if any of the four took even a tenth off the shame coefficient, this design would have seen it. ⚠ **`#384`: and what shame changes is what a person has done, not what they beli","羞耻改变的是你**做了什么**,不是你**相信什么**",1,0
README.md,385,,20008," — “shame suppressed the acting” and “having acted left less to be ashamed of” both fit this correlation. ⚠ **`#385`: one candidate explanation can be removed, though — it is not manufac","12 岁到的还是 20 岁到的,「越羞耻越少去碰」都一样成立",1,0
README.md,386,,20922,"nce, so only signs and threshold-crossings are compared, not magnitudes against the −0.083 pooled figure. ⚠ **`#386`: and the rival mechanism leaves its own trace — but the trace belongs","让一个人觉得「这改不掉」的,是他做过什么,不是他有多羞耻",1,0
README.md,384,,21481,"g within the analysis mask. **And shame itself predicts that belief not at all** (+0.0135, a null with power, `#384`). ⚠ Strength is not comfortable: the design's MDE is 0.05, exactly th","羞耻改变的是你**做了什么**,不是你**相信什么**",1,0
README.md,387,,21840," belief are measured at the same time, so this says the predicted trace is present, not which came first. ⚠ **`#387`: and the obvious next test is empty, by algebra rather than by power.","我自己刚注册的分离器,是一个恒等式",1,0
README.md,388,,22501,"The direction of this chain is not identifiable from these measurements, and no sample size changes that. ⚠ **`#388`: what does predict that belief is having the ordinary things work for","觉得「我能改」的人,是那些同时也被普通的东西打动的人",1,0
README.md,392,,23055,". **Overall rarity S is already controlled**, so this is residual to how unusual the person's tastes are: ⚠ **`#392` REVERSES THE DIRECTION OF THIS ENTIRE NOTE — and of `#390` and `#391`",我把整个尺度读反了;而我审计了三轮**我叫得出名字的**那个担心,1,0
README.md,390,,23114,sidual to how unusual the person's tastes are: ⚠ **`#392` REVERSES THE DIRECTION OF THIS ENTIRE NOTE — and of `#390` and `#391` with it.** These five items are the complete `RATING_NEG_F,"强度赢,广度塌;而复位的检验是预注册的",1,0
README.md,391,,23125,ow unusual the person's tastes are: ⚠ **`#392` REVERSES THE DIRECTION OF THIS ENTIRE NOTE — and of `#390` and `#391` with it.** These five items are the complete `RATING_NEG_FIB` set (th,"是一个家族:五题各自成立,去掉任何一题都还在",1,0
README.md,389,,24557,"h clears on its own, and the family score is a description of those hits rather than an independent test. ⚠ **`#389`: and that description does not survive — redefined by the questionnai",复制失败且**变号**;`#388a` 的家族读法退回,1,0
README.md,327,,24698,"es not survive — redefined by the questionnaire's own block structure it changes sign.** Using the two blocks `#327` identified as c3's ordinary end (`sex acts`, `sensations`) instead of","`c3` 的块载荷,与 `#303` 在另一件仪器上的分界重合",1,0
README.md,395,,25391,"rrelates +0.34 with total picks — but that is a limitation of the replication, not a rescue of the claim. ⚠ **`#395`: and the same score also predicts shame — it is the common antecedent","同一个分数,同时带来更多羞耻和更强的「我能停下来」",1,0
README.md,384,,25921,"e score independently predicts believing they could stop, and shame and that belief are themselves unrelated (`#384`). ⚠ MDE 0.05 exactly equals the meaningful magnitude here, so the str","羞耻改变的是你**做了什么**,不是你**相信什么**",1,0
README.md,396,,26027,"ed (`#384`). ⚠ MDE 0.05 exactly equals the meaningful magnitude here, so the strength is not comfortable. ⚠ **`#396`: and a whole class of follow-up tests is closed — by algebra.** Addin","「加一个控制,看系数往哪走」是一整类空的分离器",1,0
README.md,397,,26706,"f no unmeasured confounding, not from the arithmetic. Strip the assumption and only the identity is left. ⚠ **`#397`: and the five-item score turns out to be a fourth shame route, separa","「我口味偏」和「普通的东西对我没用」是两回事,各自带来羞耻",1,0
README.md,398,,27541,"it was found while scanning the residual of the *changeability* item, not while looking for shame routes. ⚠ **`#398`–`#399`: scanning a third outcome — whether engaging with one's arousa","「治疗性」不是羞耻取反;而最像它的那个人,是能被对方带动的人",1,0
README.md,399,,27548,"found while scanning the residual of the *changeability* item, not while looking for shame routes. ⚠ **`#398`–`#399`: scanning a third outcome — whether engaging with one's arousal feels","门检验的是断言,不是我给断言起的名字",1,0
README.md,401,,28536," two indicators of one.** ⚠ Scans are discovery, not test; both were replicated only within this dataset. ⚠ **`#401`: and shame and healing are not two ends of one axis — 1,790 people re","既深深羞耻、又觉得这件事在治愈自己的人,有 1,790 个",1,0
README.md,402,,29305,"ce variance would inflate the correlation toward a single axis, so the near-zero reading is conservative. ⚠ **`#402`: and they are not a random slice of the ashamed — they have a shape.*","他们不是没有偏离,是**两边都有**",1,0
README.md,415,,30014,"Strikingly, c3⁻ — the largest shame route on this page — does **not** separate them (\|t\| 1.19) **— but read `#415` below before taking that as evidence about c3⁻: both cells here are h",两把刀切出两组几乎不重叠的量,1,0
README.md,415,,30393,"nary half. ⚠ Both cells sit on the high-shame side, so nothing here measures differences in shame itself. ⚠ **`#415`: the other cut — both-high (815) against therapeutic-only (1,046) — i",两把刀切出两组几乎不重叠的量,1,0
README.md,416,,31248," on shame, so c3⁻ had no room to vary. **A null from one cut is a null along that cut's direction only.** ⚠ **`#416`: and with all four cells used, the two dimensions turn out to be addi",第三把刀是空的;而真正的交互说:两维是相加的,1,0
README.md,417,,32135,"ons' shapes and nothing more — consistent with the earlier finding that ""both halves"" is not a construct. ⚠ **`#417`–`#418`: and the fourth cell — the 1,662 people low on both — is not s","判据测了它测的东西,而那不是我给它起的名字(第二次)",1,0
README.md,418,,32142,"apes and nothing more — consistent with the earlier finding that ""both halves"" is not a construct. ⚠ **`#417`–`#418`: and the fourth cell — the 1,662 people low on both — is not simply """,「不羞耻也不疗愈」不是「什么都淡」,1,0
README.md,403,,33050,"eneral dimming**: tastes markedly more ordinary and interests arriving later, but not less of everything. ⚠ **`#403`: and ""both halves"" behaves as one thing rather than two.** Combined a",「两边都有」是一件事,1,0
README.md,404,,33664," pair of cells, so it is not a replication, and ""stronger together"" does not establish a latent variable. ⚠ **`#404`: and it does not become one on testing.** Putting the combination alo","「潜变量」这个词不能用,而理由不是它被排除了",1,0
README.md,405,,34697,"artners (rarity +0.047, ordinary-also-works +0.123), whereas they were equal in separating the two cells. ⚠ **`#405`: and across four outcomes the division of labour is not stable — this","「两边都有」是那群人的好描述,不是一个构念",1,0
README.md,406,,35556,spersion and therefore biases toward *stability* — the instability survives a bias running the other way. ⚠ **`#406`: and position S itself does not point one way — it is reversed on 8 o,"一个擦线的通过,加上一个偏向通过的偏差,不足以支持那句话",1,0
README.md,409,,36501,"ave to carry ""on the shame outcome""** — among the reversals is whether a person believes they could stop. ⚠ **`#409`: and splitting S in two does not repair it — a null with power.** Usi",拆开 `S` 没有让它更像一个方向;越轨那一半反而更散,1,0
README.md,327,,36624,"plitting S in two does not repair it — a null with power.** Using the transgressive/ordinary block split that `#327` derived from loadings rather than from reading, the two halves' sign ","`c3` 的块载荷,与 `#303` 在另一件仪器上的分界重合",1,0
README.md,411,,37233,"ason that has now been tested rather than assumed. ⚠ MDE 40% against a meaningful 50%, sweep unsaturated. ⚠ **`#411`: and shame barely suppresses action at all in people who have never h","在从没有过性伴的人身上,羞耻几乎不压制行动",1,0
README.md,390,,38130,"rrow calibers are different populations, and the wide arm drops S and c3⁻ because they require ≥8 blocks. ⚠ **`#390`: put in one model, intensity survives and breadth collapses — the wit","强度赢,广度塌;而复位的检验是预注册的",1,0
README.md,389,,38552,muting both columns together) while the block-count breadth score falls from −0.0430 alone to **−0.0009**. So `#389`'s −0.026 was breadth speaking for intensity. **The three outcomes and,复制失败且**变号**;`#388a` 的家族读法退回,1,0
README.md,388,,38972," does **not** settle is the selection itself: the five items are still ones chosen by looking at the scan, so `#388`'s scope stands and the defensible pre-registered quantity remains the","觉得「我能改」的人,是那些同时也被普通的东西打动的人",1,0
README.md,391,,39071,"e scan, so `#388`'s scope stands and the defensible pre-registered quantity remains the maximum, +0.0888. ⚠ **`#391`: within those five, though, it behaves like one family rather than on","是一个家族:五题各自成立,去掉任何一题都还在",1,0
README.md,325,,39545,"est single contribution is 14%, and two of the items slightly dilute rather than carry it. This rules out the `#325` pattern where two indicators of one construct load it very unequally.","那个 −0.2075 是 `written` 的,不是 `form` 的",1,0
README.md,327,,39738,oes not touch the selection question: proving the five cohere is not proving the five were picked fairly. ⚠ **`#327`: and the block loadings reproduce that split on the other instrument.,"`c3` 的块载荷,与 `#303` 在另一件仪器上的分界重合",1,0
README.md,201,,40280,"+0.975**. ⚠ **A loading ranking is a description, not a name** — four naming attempts have already died here (`#201` `#202` `#303` `#324`). ⚠ **`#330`: and it is not rarity wearing a cos","⚠ 撤回「媒介偏好」这个名字:`animated` 与 `written` 相关 +0.25,不是二选一",1,0
README.md,202,,40287,"*. ⚠ **A loading ranking is a description, not a name** — four naming attempts have already died here (`#201` `#202` `#303` `#324`). ⚠ **`#330`: and it is not rarity wearing a costume.**",不是「表征 vs 实况」的轴;而这一轮的价值在于上一轮没有把名字说出口,1,0
README.md,303,,40294,"A loading ranking is a description, not a name** — four naming attempts have already died here (`#201` `#202` `#303` `#324`). ⚠ **`#330`: and it is not rarity wearing a costume.** Strip ","一个常设相关也不需要嵌套修正,而 `c3` 的下降是仪器的",1,0
README.md,324,,40301,"ng ranking is a description, not a name** — four naming attempts have already died here (`#201` `#202` `#303` `#324`). ⚠ **`#330`: and it is not rarity wearing a costume.** Strip the thr","`form` 偏向反事实半,但只是 PLAUSIBLE",1,0
README.md,330,,40314," a description, not a name** — four naming attempts have already died here (`#201` `#202` `#303` `#324`). ⚠ **`#330`: and it is not rarity wearing a costume.** Strip the three content-fr","扣掉全部三个结构属性,`c3` 跨仪器反而更锐",1,0
README.md,332,,40958," carrying it. ⚠ Three properties are the three I thought of; this is a lower-bound argument, not a proof. ⚠ **`#332`: and a third correlate — how early it arrived.** Mean onset age corre",起始越早羞耻越多:每一项检查都过了,1,0
README.md,380,,41624,"codings of the age bins (range 0.004). ⚠ Onset age is retrospective self-report — association, not cause. ⚠ **`#380`: and this route is about twice as strong in respondents who are not b","性兴趣来得早,在非生理男的人身上带来的羞耻大约是两倍(独立确认,五门全过)",1,0
README.md,296,,41914,— which removes not only mean and variance differences in scale use but the response-shape confound that left `#296` at D5 — onset predicts shame at **−0.133** in group 0 versus **−0.068,"看上去是十轮站住了,但正对照说这句不能说",1,0
README.md,370,,42819,"ull model the same difference is +0.053, |t| 2.14 against a threshold of 2.42 — same sign, below the bar. ⚠ **`#370`: and within a single person, the rare things arrive LATER — far more ",几乎每个人都是从普通的地方开始的,1,0
README.md,371,,43656,"e null: almost everyone starts from the ordinary, and the ordering is personal, not merely demographic.** ⚠ **`#371`: and the few for whom it ran the other way carry more shame.** Regres",顺序是有代价的;而我的「宽口径臂」第一版根本没宽,1,0
README.md,372,,44223,"re the more ashamed.** The wide arm's MDE is 0.025 against an effect of 0.029: adequate, not comfortable. ⚠ **`#372`: and about half of that is simply that those people started earlier a","那个负号有一半是「他整体就来得早」,剩下的一半这个设计看不见",1,0
README.md,346,,45009,"above still holds; the mechanism does not separate. ⚠ Wide and narrow calibers are **different populations** (`#346`), so this is a cross-population replication, not added power. ⚠ The f","宽口径对 `c3` 几乎免费,而它把 `S ↔ 羞耻` 抬了 45%",1,0
README.md,334,,45381,"on-rule relaxation that does not move n never happened, and is a scope claim in the flattering direction. ⚠ **`#334`: three routes, and only one pair overlaps.** Onset-early carries an i",次可加过了全族阈:PLAUSIBLE 升到 CONFIRMED,1,0
README.md,337,,45937," numeric codings of the onset bins. Rare taste and early arrival overlap; the other two pairs simply add. ⚠ **`#337`: and the overlap survives at the person×category level** (147,387 cel","格层复现了次可加,而格层的时间表已被中心化掉",1,0
README.md,350,,46349," = 0.010)** — so the overlap is not the shared developmental schedule, which is centred out cell by cell. ⚠ **`#350`: it replicates in a larger, more heterogeneous sample.** At a looser ",那条次可加在更大也更杂的人群里更强了,1,0
README.md,346,,46785,"re different populations, not the same one with more data** — low-coverage respondents differ systematically (`#346`), so this is a replication across populations, not an increase in pow","宽口径对 `c3` 几乎免费,而它把 `S ↔ 羞耻` 抬了 45%",1,0
README.md,357,,46869,"ts differ systematically (`#346`), so this is a replication across populations, not an increase in power. ⚠ **`#357`: two of those four moderators were deliberately coarsened before rele","广度共线在 `S` 上,不在特征向量上;而量级不是新的",1,0
README.md,373,,47474, correlations **~25% weaker than the original** — so every correlation on this page is a **lower bound**. ⚠ **`#373`: and that card is not describing this exact file.** Its header states,数据集卡片描述的不是我手上这个文件,1,0
README.md,366,,48362,"ut rows having been dropped, the file’s blanks **are** the None level, so reading them as zero is correct and `#366`’s warning about conflating “none” with “no answer” is withdrawn. ⚠ **",`c3⁻` 那份羞耻不是独有的;而咬掉它的五个量说的是同一种人,1,0
README.md,374,,48438,"ading them as zero is correct and `#366`’s warning about conflating “none” with “no answer” is withdrawn. ⚠ **`#374`: but the card is stale, not false — its deletions hold.** Its `DROPPE","卡片的**档数**过时,它的**删除**属实",1,0
README.md,285,,49282,"**Read the card as accurate about what was removed and out of date about how much was collapsed.** > sexes** (`#285` `#286`). Rebuilt independently in each group (n = 3,232 / 3,485): the","这六个坐标在男性和女性身上,不是完全同一套",1,0
README.md,286,,49289,"the card as accurate about what was removed and out of date about how much was collapsed.** > sexes** (`#285` `#286`). Rebuilt independently in each group (n = 3,232 / 3,485): the block-","它们不是「人的坐标」,至少不是同一套坐标",1,0
README.md,278,,50257,es a resolvable disagreement.**  > ⚠ **`form_i` is the only standing dimension that does *not* reach shame** (`#278`). Everything else in > this project ends up pointing at it — position,"这个项目找到的每一样东西最后都指向羞耻,除了这一个",1,0
README.md,316,,50716,"y quantity in a project points at the same outcome, the informative one is the quantity that > doesn't.** ⚠ **`#316`: that is a statement about the *increment*, and the wider reading is ","`form` 不是够不到羞耻,它是信度低",1,0
README.md,375,,50972,"*, and its Spearman–Brown reliability is only **0.380** (`animated`↔`written` = **+0.2345** at n = 6,478; ⚠ **`#375`: this page previously printed +0.468 here, which is `2r`, the numerat",没有第三个 `form` 指标;而页面上那个 `+0.468` 是 `2r`,1,0
README.md,320,,51314,"relation was not.**), so the disattenuated value is **+0.1293** (bootstrap 95% interval **[+0.088, +0.167]**, `#320`) — the same size as position (+0.1185) and breadth-type c3 (+0.1286).","非线性不咬人,但区间该报;纳入规则把不确定性放大近一半",1,0
README.md,419,,51736,"of 0.0348. **`form` is not a shame-free dimension; it is a dimension this survey measures too coarsely.** ⚠ **`#419`: the direction of these two items has now been checked, and so — for ",方向是对的;而顺手确认的是整页的羞耻方向,1,0
README.md,392,,52047,"M3` (symmetric, −2…+2 and −3…+3), structurally unlike the all-negative `RATING_NEG_FIB` scale whose direction `#392` had to reverse. Calibrating the whole family with an item whose direc",我把整个尺度读反了;而我审计了三轮**我叫得出名字的**那个担心,1,0
README.md,420,,52796,"nd **more** fetish categories (+0.095, +0.035) — which is a substantive split, not an instrument failure. ⚠ **`#420`: and it survives a proper test.** With `S`, c3⁻, shame and age contro","想要的种类更多,做过的事更少",1,0
README.md,421,,53579,"ised, so only signs and threshold-crossings are compared; the split is a description, not a causal claim. ⚠ **`#421`: and ""breadth"" on this page is not one quantity.** Enumerating the fi",「广度」不是一个东西;而落单的那一个正是 `form` 劈开的那一个,1,0
README.md,422,,54421,"and how much you have actually done — and the form score above pushes those two in opposite directions.** ⚠ **`#422`: and the ambiguity turns out to be bounded, so one definition fixes i","分成两步的价值,不在于拖一轮,在于第一步可以改变第二步是什么",1,0
README.md,423,,54897,"otalsexacts` or ""endorsed sex acts"". **So a bare ""breadth"" on this page never means the sex-act count.**  ⚠ **`#423`: and enumerating the question types turned up a loaded trap that has ","一个没被用过的变量,方向不是安全的假设,是没被检查过的假设",1,0
README.md,392,,55148,"ibonacci-coded rating families whose value sets are exact mirrors — `{0,−1,−2,−3,−5,−8}` and `{0,1,2,3,5,8}`. `#392` established that **−8 is the most erotic end** of the first. Anchorin",我把整个尺度读反了;而我审计了三轮**我叫得出名字的**那个担心,1,0
README.md,424,,56309," and the item wording selects on body type), so this is a statement about them, not about everyone here.  ⚠ **`#424`: and there is no specialist taste in this survey.** The largest never",这份问卷里没有一种「专精」的口味,1,0
README.md,429,,57614,"eakest item is close enough to zero that ""never negative"" is the claim — not ""everything goes together"".  ⚠ **`#429`: and one signed claim on this page rests on a direction that cannot b","两个锚是坏的,两种坏法,而都不报错",1,0
README.md,433,,59288,"ated as \|r\| — such as ""all Big Five \|r\| ≤ 0.056"" — are sign-immune and are untouched by any of this.  ⚠ **`#433`: and once its direction was settled, the porn-use variable turned out","色情使用量多解释的,是羞耻,而且只有羞耻",1,0
README.md,434,,60308,"hout (0.030 to 0.077) — this is a statement about which one survives controls, not about a large effect.  ⚠ **`#434`: and shame turns out to be the brake, not the carrier — which is the ","羞耻是刹车,不是传递者;而我预注册的预期也是错的",1,0
README.md,435,,61019,.0032]** excluding zero). The net (+0.0122) is smaller than the direct because the two oppose each other. ⚠ **`#435` retracts the share I first reported here.** I wrote that the indirect,"刹车有选择,而我上一轮发布的那个份额不可估",1,0
README.md,435,,61477,"lears its own permutation threshold and its own interval excludes zero); **only the fraction does not.**  ⚠ **`#435`: and the brake is not a flat tax — it discriminates, and one quantity","刹车有选择,而我上一轮发布的那个份额不可估",1,0
