page,pos,token,ctx,fixed_denom,effect_denom,has_interval,candidate
README.md,8440,**18.9%,"ll of +0.007 ± 0.017). **13 of the 20 exceed their own permutation threshold individually**, though no single one takes more than **18.9%** (partner count), then extraversion 14.9%, age 8.8%, neuroticism 8.3%, powerlessness 7.3",0,0,1,0
README.md,8485,14.9%,"their own permutation threshold individually**, though no single one takes more than **18.9%** (partner count), then extraversion 14.9%, age 8.8%, neuroticism 8.3%, powerlessness 7.3%. **All five biggest bites point the same ",0,0,0,0
README.md,8496,8.8%,"ermutation threshold individually**, though no single one takes more than **18.9%** (partner count), then extraversion 14.9%, age 8.8%, neuroticism 8.3%, powerlessness 7.3%. **All five biggest bites point the same way**: you",0,0,0,0
README.md,8514,8.3%,"ld individually**, though no single one takes more than **18.9%** (partner count), then extraversion 14.9%, age 8.8%, neuroticism 8.3%, powerlessness 7.3%. **All five biggest bites point the same way**: younger, fewer partne",0,0,0,0
README.md,8534,7.3%,"hough no single one takes more than **18.9%** (partner count), then extraversion 14.9%, age 8.8%, neuroticism 8.3%, powerlessness 7.3%. **All five biggest bites point the same way**: younger, fewer partners, less extraverted",0,0,0,0
README.md,8682,40%,"iggest bites point the same way**: younger, fewer partners, less extraverted, more neurotic, less agency, together carrying about 40% of this route's shame. The other 60% none of the twenty can see. ⚠ **`#367`: that 40% is ",0,0,0,0
README.md,8719,60%,"unger, fewer partners, less extraverted, more neurotic, less agency, together carrying about 40% of this route's shame. The other 60% none of the twenty can see. ⚠ **`#367`: that 40% is ONE dimension, not twenty — but half ",0,0,0,0
README.md,8768,40%,"rotic, less agency, together carrying about 40% of this route's shame. The other 60% none of the twenty can see. ⚠ **`#367`: that 40% is ONE dimension, not twenty — but half of the sentence above was rhetoric.** Sign-aligne",0,0,0,0
README.md,8955,**28.9%,"ce above was rhetoric.** Sign-aligned, all 10 off-diagonal correlations among the five are positive (median +0.092) and PC1 takes **28.9%** against an offset null of **20.88% ± 0.23%** (+35 sd) — the null is not zero because si",0,0,1,0
README.md,8991,**20.88%,"d, all 10 off-diagonal correlations among the five are positive (median +0.092) and PC1 takes **28.9%** against an offset null of **20.88% ± 0.23%** (+35 sd) — the null is not zero because sign-aligning on a common target *induc",0,0,1,0
README.md,9002,0.23%,ff-diagonal correlations among the five are positive (median +0.092) and PC1 takes **28.9%** against an offset null of **20.88% ± 0.23%** (+35 sd) — the null is not zero because sign-aligning on a common target *induces* a fl,0,0,1,0
README.md,9236,59.6%,"t is built by synthesising five variables with the observed \|r\| to c3⁻ and nothing else in common. **A real single factor gives 59.6%, so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3",0,1,0,1
README.md,9316,**37.1%,"hing else in common. **A real single factor gives 59.6%, so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3⁻'s shame where all twenty take 40.4% — **92% of the work of twenty variables done",0,1,0,1
README.md,9363,40.4%,"es 59.6%, so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3⁻'s shame where all twenty take 40.4% — **92% of the work of twenty variables done by one dimension** — against random 5-subset",0,1,0,1
README.md,9371,**92%,", so the common direction is genuine but thin.** And that single PC1 takes **37.1%** of c3⁻'s shame where all twenty take 40.4% — **92% of the work of twenty variables done by one dimension** — against random 5-subsets taking",0,1,0,1
README.md,9467,**8.3%,"ame where all twenty take 40.4% — **92% of the work of twenty variables done by one dimension** — against random 5-subsets taking **8.3% ± 7.7%** (beyond all 300 draws, +3.8 sd), which is the control the selected-on-the-same-d",0,0,1,0
README.md,9476,7.7%," all twenty take 40.4% — **92% of the work of twenty variables done by one dimension** — against random 5-subsets taking **8.3% ± 7.7%** (beyond all 300 draws, +3.8 sd), which is the control the selected-on-the-same-data fiv",0,0,1,0
README.md,9731,**28.2%,"n: the sign agreement itself carries almost no information.** 16 of the 20 variables are same-signed, so a random 5-subset agrees **28.2%** of the time. ⚠ **`#369`: and the sharing is uniform along that line — the two numbers a",0,0,0,0
README.md,10060,95%,"05, `#368`), so the question was re-estimated as a single interaction on all 6,609 people: `c3⁻ × PC1` = **−0.00042** (se 0.0120, 95% CI [−0.024, +0.023]), **−0.04 sd** from an offset null built by permuting **only** PC1 — ",0,0,1,0
README.md,10772,54.8%,"e will shame them. ⚠ For scale, not as a test (k differs): a variable that genuinely **is** c3⁻ plus equal-magnitude noise leaves 54.8%. ⚠ c3⁻ is estimated in-sample (`#347`), so the absolute pp is an upper bound; the retaine",0,0,0,0
README.md,11137,56%,"ories) | n/a (blocks carry no time) | `UNCOMPUTED` | 11/31 | current age controlled (+0.0226) · recall bias controlled (`#289`) · 56% survives a cross-half split | | **`form_i` — what ""opened by drawn things"" and ""opened by",0,0,0,0
README.md,13480,**110.2%,"p its own ruler does not remove the non-invariance**: rebuilt with within-group rarity, the gap goes from −0.2061 to **−0.2270** (**110.2% retained**), with a `SEX × S` interaction sweep flat at g=0. **Both facts are true and ne",0,0,0,0
README.md,13907,**84.3%,"so come from the outcomes themselves (range restriction, response style), and partialling a response-style reference curve leaves **84.3%** of the gap — but that arm's positive control **fails** (planting noise in six outcomes ",0,0,0,0
README.md,14081,**−18.5%,"ve control **fails** (planting noise in six outcomes for one group, the partialling makes the artificial gap **larger**, recovery **−18.5%**), so it is UNVERIFIED, not a confirmation. **The sex non-invariance is reported here at",0,0,0,0
README.md,16508,100%,"finitions disagree, and there they behave the same. Over the option-subset grid (keep the most reference-group-divergent 10/25/50/100% per block) the two definitions decorrelate from **+0.8865 to +0.6722**, and both routes *",0,0,0,0
README.md,16626,+41.6%,"nt 10/25/50/100% per block) the two definitions decorrelate from **+0.8865 to +0.6722**, and both routes **strengthen together** (+41.6% and +62% among people readable both ways) while their difference stays at **+0.0113 again",0,0,0,0
README.md,16637,+62%,"/100% per block) the two definitions decorrelate from **+0.8865 to +0.6722**, and both routes **strengthen together** (+41.6% and +62% among people readable both ways) while their difference stays at **+0.0113 against a dete",0,0,0,0
README.md,16907,90%,"e of four cells. **The earlier reading that only content carries shame held on the full option set, where the two definitions are 90% the same quantity — it does not survive the grid.** ⚠ **`#304`: and the two routes are no",0,0,0,0
README.md,18581,**58%,"ll eight (route × moderator) interactions gives an R² drop of **0.094pp** against a permutation null of **0.121 ± 0.061pp**, with **58% of permutations exceeding the observed value**. The same test detects a planted buffer of",0,0,1,0
README.md,18677,**10%,"null of **0.121 ± 0.061pp**, with **58% of permutations exceeding the observed value**. The same test detects a planted buffer of **10%** in three of the four variables (30% for openness), against **54.8%** for the single-coe",0,0,1,0
README.md,18717,30%,"of permutations exceeding the observed value**. The same test detects a planted buffer of **10%** in three of the four variables (30% for openness), against **54.8%** for the single-coefficient test it replaces. **This is a",0,1,0,1
README.md,18744,**54.8%,"he observed value**. The same test detects a planted buffer of **10%** in three of the four variables (30% for openness), against **54.8%** for the single-coefficient test it replaces. **This is a null with power**: if any of t",0,1,0,1
README.md,26890,25%,"rvive: the five-item score goes +0.0881 → **+0.0657** (threshold 0.0235) and c3⁻ +0.1093 → **+0.0932** (threshold 0.0264), losing 25% and 15% respectively. **Having unusual tastes and finding that ordinary things do little ",0,0,0,0
README.md,26898,15%,"he five-item score goes +0.0881 → **+0.0657** (threshold 0.0235) and c3⁻ +0.1093 → **+0.0932** (threshold 0.0264), losing 25% and 15% respectively. **Having unusual tastes and finding that ordinary things do little for you ",0,0,0,0
README.md,28658,**11.55%,"ear correlation is **+0.0005** across all 15,501 respondents: not negative, zero. Split at both medians, the both-high cell holds **11.55%** of people (**1,790**) against an offset null of **10.43% ± 0.18%** built by keeping bot",1,0,1,0
README.md,28717,**10.43%,"s: not negative, zero. Split at both medians, the both-high cell holds **11.55%** of people (**1,790**) against an offset null of **10.43% ± 0.18%** built by keeping both marginal distributions and breaking only the pairing — **",0,0,1,0
README.md,28728,0.18%,"tive, zero. Split at both medians, the both-high cell holds **11.55%** of people (**1,790**) against an offset null of **10.43% ± 0.18%** built by keeping both marginal distributions and breaking only the pairing — **+6.13 sd",0,0,1,0
README.md,37074,40%," scattered one — and the outcome-specific qualifier above stands for a reason that has now been tested rather than assumed. ⚠ MDE 40% against a meaningful 50%, sweep unsaturated. ⚠ **`#411`: and shame barely suppresses acti",0,0,0,0
README.md,37099,50%,"outcome-specific qualifier above stands for a reason that has now been tested rather than assumed. ⚠ MDE 40% against a meaningful 50%, sweep unsaturated. ⚠ **`#411`: and shame barely suppresses action at all in people who h",0,0,0,0
README.md,37570,+89.4%,"st, a difference of **−0.062** past a random-restratification threshold of 0.042 at the wide caliber (n = 12,516, guard-25 growth +89.4%). All three computable cells carry the pre-registered negative sign; only the widest clea",0,0,0,0
README.md,39289,104%,"able thresholds (+0.090, +0.085, +0.069, +0.064, +0.063 against thresholds of 0.024–0.026), and dropping any one item leaves **86–104%** of the five-item score — the largest single contribution is 14%, and two of the items s",0,0,0,0
README.md,39356,14%,"esholds of 0.024–0.026), and dropping any one item leaves **86–104%** of the five-item score — the largest single contribution is 14%, and two of the items slightly dilute rather than carry it. This rules out the `#325` pat",0,0,0,0
README.md,41068,79%," shame at **−0.1024** raw and **−0.0810** after controlling both how many categories a person reports and their position score S (79% retained, 2×MDE = 0.068); **28 of 31 categories are negative** individually. Category spl",0,0,0,0
README.md,41082,2×,".1024** raw and **−0.0810** after controlling both how many categories a person reports and their position score S (79% retained, 2×MDE = 0.068); **28 of 31 categories are negative** individually. Category split-half relia",0,0,0,0
README.md,41247,95%,"es are negative** individually. Category split-half reliability is **0.924**, giving a disattenuated **−0.1065** with a bootstrap 95% interval of **[−0.134, −0.082]**. It survives dropping everyone with a censored (""26yo+"")",0,0,1,0
README.md,41361,83%,"ith a bootstrap 95% interval of **[−0.134, −0.082]**. It survives dropping everyone with a censored (""26yo+"") onset (**−0.0684**, 83% of the sample) and three different numeric codings of the age bins (range 0.004). ⚠ Onset",1,0,1,0
README.md,42997,**77.1%,"tegories (n = 6,473), the rank correlation between their own onset ages and category rarity averages **+0.2219** (median +0.2532; **77.1%** of people positive) against an offset null of **+0.0884 ± 0.0034** — **+38.9 sd**. That",0,0,1,0
README.md,43722,95%,"her way carry more shame.** Regressing shame on that within-person ordering, controlling category count and S, gives **−0.0287** (95% CI [−0.047, −0.011], −3.00 sd from a person-shuffle null) at the wide caliber (n = 11,535",0,0,1,0
README.md,44315,**48.4%,"arlier at everything.** Adding mean onset age to the same model drops the ordering coefficient from **−0.0287** to **−0.0148**, a **48.4%** drop (bootstrap 95% CI [+31.4%, +83.8%]) against an offset floor of −0.11% ± 5.01% buil",0,1,1,0
README.md,44341,95%,"ding mean onset age to the same model drops the ordering coefficient from **−0.0287** to **−0.0148**, a **48.4%** drop (bootstrap 95% CI [+31.4%, +83.8%]) against an offset floor of −0.11% ± 5.01% built from a synthetic con",0,1,1,0
README.md,44349,+31.4%,"n onset age to the same model drops the ordering coefficient from **−0.0287** to **−0.0148**, a **48.4%** drop (bootstrap 95% CI [+31.4%, +83.8%]) against an offset floor of −0.11% ± 5.01% built from a synthetic control with t",0,1,1,0
README.md,44357,+83.8%,"age to the same model drops the ordering coefficient from **−0.0287** to **−0.0148**, a **48.4%** drop (bootstrap 95% CI [+31.4%, +83.8%]) against an offset floor of −0.11% ± 5.01% built from a synthetic control with the same ",0,1,1,0
README.md,44393,−0.11%,"ring coefficient from **−0.0287** to **−0.0148**, a **48.4%** drop (bootstrap 95% CI [+31.4%, +83.8%]) against an offset floor of −0.11% ± 5.01% built from a synthetic control with the same correlation to the ordering but none",0,1,1,0
README.md,44402,5.01%,"ficient from **−0.0287** to **−0.0148**, a **48.4%** drop (bootstrap 95% CI [+31.4%, +83.8%]) against an offset floor of −0.11% ± 5.01% built from a synthetic control with the same correlation to the ordering but none to sham",0,0,1,0
README.md,47151,30%,"*, and relationship style from **3 to 2**. Coarsening a moderator attenuates interaction detection, so the per-variable MDE of 10–30% is partly the release's doing, not the population's. The publisher also states the anonym",0,0,0,0
README.md,47275,25%,"of 10–30% is partly the release's doing, not the population's. The publisher also states the anonymization leaves correlations **~25% weaker than the original** — so every correlation on this page is a **lower bound**. ⚠ **",0,0,0,0
README.md,49812,**1.9%,"greeableness`, which correlates −0.0749 with sex, gives −0.0016). The three outcomes that differ > most: `I sometimes find peop…` **1.9% vs 5.0%**, `I find the thought of…` **3.2% vs 0.6%**, `animated` > **6.4% vs 8.9%**. ⚠ Th",0,0,0,0
README.md,49822,5.0%,"ss`, which correlates −0.0749 with sex, gives −0.0016). The three outcomes that differ > most: `I sometimes find peop…` **1.9% vs 5.0%**, `I find the thought of…` **3.2% vs 0.6%**, `animated` > **6.4% vs 8.9%**. ⚠ This does ",0,0,0,0
README.md,49855,**3.2%,"h sex, gives −0.0016). The three outcomes that differ > most: `I sometimes find peop…` **1.9% vs 5.0%**, `I find the thought of…` **3.2% vs 0.6%**, `animated` > **6.4% vs 8.9%**. ⚠ This does **not** say any column is wrong — e",0,0,0,0
README.md,49865,0.6%,"es −0.0016). The three outcomes that differ > most: `I sometimes find peop…` **1.9% vs 5.0%**, `I find the thought of…` **3.2% vs 0.6%**, `animated` > **6.4% vs 8.9%**. ⚠ This does **not** say any column is wrong — every one",0,0,0,0
README.md,49886,**6.4%,"e outcomes that differ > most: `I sometimes find peop…` **1.9% vs 5.0%**, `I find the thought of…` **3.2% vs 0.6%**, `animated` > **6.4% vs 8.9%**. ⚠ This does **not** say any column is wrong — every one was controlled for sex",0,0,0,0
README.md,49896,8.9%," that differ > most: `I sometimes find peop…` **1.9% vs 5.0%**, `I find the thought of…` **3.2% vs 0.6%**, `animated` > **6.4% vs 8.9%**. ⚠ This does **not** say any column is wrong — every one was controlled for sex. It > s",0,0,0,0
README.md,51173,95%,"9. The reliability 0.380 was always right; the pair correlation was not.**), so the disattenuated value is **+0.1293** (bootstrap 95% interval **[+0.088, +0.167]**, `#320`) — the same size as position (+0.1185) and breadth-",0,0,1,0
README.md,51352,61%,"same size as position (+0.1185) and breadth-type c3 (+0.1286). It survives controlling response style (**+0.0791** disattenuated, 61% retained). What is absent is not the signal but its *unique* part: after removing both th",0,0,0,0
README.md,56075,13%,"lation to one's own body goes with a wider sexual life, not a narrower one.** ⚠ Scope: only **2,061** people answered that block (13% of the sample, and the item wording selects on body type), so this is a statement about t",1,0,0,0
README.md,61004,**39.8%,"because the two oppose each other. ⚠ **`#435` retracts the share I first reported here.** I wrote that the indirect route cancels **39.8%** of the direct one; bootstrapping that ratio gives **[−3.6, +2.2]**, because its denomin",0,1,1,0
README.md,61634,8.1%,"three-path split for five quantities at once, with the algebraic identity holding to 2e-16 in every case: **rarity of taste loses 8.1%** of its route to behaviour through shame **[−12.4%, −4.8%]**, while **""ordinary content ",0,0,1,0
README.md,61684,−12.4%," the algebraic identity holding to 2e-16 in every case: **rarity of taste loses 8.1%** of its route to behaviour through shame **[−12.4%, −4.8%]**, while **""ordinary content also works"" gains 7.2%** **[+4.2%, +11.9%]** — two i",0,0,1,0
README.md,61692,−4.8%,"ebraic identity holding to 2e-16 in every case: **rarity of taste loses 8.1%** of its route to behaviour through shame **[−12.4%, −4.8%]**, while **""ordinary content also works"" gains 7.2%** **[+4.2%, +11.9%]** — two interval",0,0,1,0
README.md,61746,7.2%,"ty of taste loses 8.1%** of its route to behaviour through shame **[−12.4%, −4.8%]**, while **""ordinary content also works"" gains 7.2%** **[+4.2%, +11.9%]** — two intervals that do not overlap. ⚠ The **signs** here are algeb",0,0,1,0
README.md,61756,+4.2%,"e loses 8.1%** of its route to behaviour through shame **[−12.4%, −4.8%]**, while **""ordinary content also works"" gains 7.2%** **[+4.2%, +11.9%]** — two intervals that do not overlap. ⚠ The **signs** here are algebra, not evi",0,0,1,0
README.md,61763,+11.9%," 8.1%** of its route to behaviour through shame **[−12.4%, −4.8%]**, while **""ordinary content also works"" gains 7.2%** **[+4.2%, +11.9%]** — two intervals that do not overlap. ⚠ The **signs** here are algebra, not evidence: t",0,0,1,0
README.md,64087,2×,"ally** — `animated` ↔ shame **+0.0985**, `written` ↔ shame **+0.0515**, a difference sitting exactly on this design's resolution (2×MDE = 0.047). The direction is shared; the share is not. On sex the two diverge far more (",0,1,0,1
README.md,64486,**45%,"ing ≥8 of the 32 blocks (n = 6,717). Relaxing that inclusion rule to ≥6 and ≥4 (n = 12,720) gives **+0.1477** and **+0.1715** — a **45% swing**, larger than any analysis knob in [`CALIBER.md`](CALIBER.md). ⚠ The direction is ",0,1,0,1
README.md,65779,1.4%," (each was controlled and > scoped separately); it overturns reading the six as six independent coordinates. > ⚠ **Caliber of the 1.4%** (`#264`, `#271`): old S + least squares; the alternative caliber (S varying > with bloc",0,0,0,0
README.md,65889,**1.21%," ⚠ **Caliber of the 1.4%** (`#264`, `#271`): old S + least squares; the alternative caliber (S varying > with block subset) gives **1.21%**. Both sit in 1.2–1.4%. The knobs that move this number are listed > and measured in [`C",0,0,0,0
README.md,65916,1.4%,"(`#264`, `#271`): old S + least squares; the alternative caliber (S varying > with block subset) gives **1.21%**. Both sit in 1.2–1.4%. The knobs that move this number are listed > and measured in [`CALIBER.md`](CALIBER.md) ",0,0,0,0
README.md,67964,66.5%,"ration 17.0. Using it to guess which of any two interests came first reaches **66.852 ± 0.191**, against a theoretical ceiling of 66.5% for ""everyone shares one ordering"" — the schedule has nearly exhausted what a shared orde",0,0,1,0
README.md,68142,60.5%,"chedule has nearly exhausted what a shared ordering can provide | `#75` 8 seeds · 35,438 pairs · 6,230 people; all-pairs bound **[60.5%, 66.5%]** `#63` | | **Content and individualised valuation move endorsement probability b",0,0,1,0
README.md,68149,66.5%," has nearly exhausted what a shared ordering can provide | `#75` 8 seeds · 35,438 pairs · 6,230 people; all-pairs bound **[60.5%, 66.5%]** `#63` | | **Content and individualised valuation move endorsement probability by the s",0,0,1,0
README.md,68316,5%,"vidualised valuation move endorsement probability by the same amount** | option base rate **±21.5 pp** (ledger records ±22.6; **a 5% drift that is not explained**, `#157e`) · person overall rate **±16.7 pp** · person × opt",0,0,1,0
README.md,69811,**85%,"ing of +0.832. **And the name itself is now tested** (`#163`): split the blocks into their two most content-dissimilar halves and **85% of the reliability survives**, while a pure *position* plant survives at 100% and a pure ",0,0,0,0
README.md,69890,100%," into their two most content-dissimilar halves and **85% of the reliability survives**, while a pure *position* plant survives at 100% and a pure *content* plant collapses to −2% — **""prefers uncommon things"" is a transferab",0,0,0,0
README.md,69935,−2%,"s and **85% of the reliability survives**, while a pure *position* plant survives at 100% and a pure *content* plant collapses to −2% — **""prefers uncommon things"" is a transferable position, not ""likes one family that happ",0,0,0,0
README.md,70166,**102%,"e uncommon""**. **And it is not a shadow of sex** (`#164`): regressing sex out of *every* block-level score leaves the tendency at **102%** (4.9× its own spread, and the direction is *up*), while a purely sex-driven position pl",0,1,0,1
README.md,70279,**−0%," the tendency at **102%** (4.9× its own spread, and the direction is *up*), while a purely sex-driven position plant collapses to **−0%** and a purely personal one survives at **+0.986** under the same treatment; **67%** surv",0,1,0,1
README.md,70362,**67%," purely sex-driven position plant collapses to **−0%** and a purely personal one survives at **+0.986** under the same treatment; **67%** survives removing the pick count, and its correlation with pick count (+0.608) is **low",0,0,0,0
README.md,71321,**4.5%,"count (+0.1155), sex (+0.1154), and the **content** score itself (**+0.1132, 9.0× its own bootstrap sd**) — content mediates only **4.5%**, so shame does *not* track *which* families you like. Permuting shame across people giv",0,0,1,0
README.md,71442,1%,"tes only **4.5%**, so shame does *not* track *which* families you like. Permuting shame across people gives **+0.0008 ± 0.0118** (1% of the effect). The internal discriminant: on the same pipeline the *therapeutic* item st",0,1,1,0
README.md,75779,24.5%,"near-absent there (`corr = +0.0428`; controlled beta **+0.1344 ± 0.0099**). **But the two scores correlate only +0.1336, which is 24.5% of their attenuation ceiling of 0.5452** — the registered 50% was not met, while the same",0,0,1,0
README.md,75843,50%," 0.0099**). **But the two scores correlate only +0.1336, which is 24.5% of their attenuation ceiling of 0.5452** — the registered 50% was not met, while the same arithmetic gives 95.4% for two disjoint halves *within* the b",0,0,0,0
README.md,75892,95.4%,"0.1336, which is 24.5% of their attenuation ceiling of 0.5452** — the registered 50% was not met, while the same arithmetic gives 95.4% for two disjoint halves *within* the block instrument. **So ""opening in rarer domains ↔ s",0,0,0,0
README.md,78993,**2.8%,"ean `corr(onset, rating) = −0.1175`, negative in 23 of 24 matched categories; both ends of the positive control fire) leaves only **2.8%** of the asymmetry — *but that comparison silently changed the sample from 2,740 to 6,301",0,0,0,0
README.md,79227,70.2%,", because residualisation moves the median split and therefore the ≥4-per-half filter. **On the same people the asymmetry retains 70.2%** (−0.0690 → −0.0484) yet is **no longer resolvable** (0.85× its own spread). So the reca",0,0,0,0
README.md,79978,**98.5%,"n the **4,718 people who have both** — ordinary **−0.0589**, transgressive **+0.1012**, gap **+0.1601** against 2× spread 0.0394, **98.5% of the original retained**. The conclusion is unchanged; this line is the scope. ⚠ **`#29",0,0,0,0
README.md,81023,43%,"apping endpoint intervals. **A synthetic relation of fixed true strength declines by 0.074 over the same thresholds**, so roughly 43% of the observed 0.174 drop is selection and range restriction and roughly 0.10 is not; co",0,0,0,0
README.md,81913,43%,"usion artifact explains it. ⚠ This also corrects the split above: real outcomes decline **less** than the synthetic baseline, so ""43% is selection"" was generous and the unexplained share is larger. | **Two orthogonal person",0,0,0,0
README.md,86722,**4%,"'s own repertoire) reproduces it independently: +0.0767 with the schedule removed, 14.5×**. `#114`'s recall bias contributes only **4%**, and with the opposite sign. ⚠ **`#211` adds the boundary this claim never had**: rerun",0,0,0,0
README.md,87995,65%,"mber, and under the fixed-margin null (the scheme this project uses most) the negative control **fails**: margins alone reproduce 65% of it. **`#212` separates the two readings and it is the window, not the artifact**: spli",0,0,0,0
README.md,88639,30%,ect does not exist.** ⚠ The post-14 half is itself age-selected (contributor median age 26.5 vs 22.5) and its permutation null is 30% of the effect ⚠ **`#243` — and it is not a population effect at all**: split people by wh,0,1,0,1
README.md,89164,1%,"om same-size subset lands on the full-sample value (−0.0298), a 15-year threshold reproduces −0.1407, and the permutation null is 1% of the effect. **Range restriction cannot explain it**: the early group has *lower* withi",0,1,0,1
README.md,90079,**79%,"0.0190. Entering both, the early-group indicator falls from −0.1892 to **−0.0400 ± 0.0134** while A8 keeps **+0.2213 ± 0.0139** — **79% of the dichotomy is just position on this line**. **There are not two kinds of people; th",0,0,1,0
README.md,90913,19%,"urface rather than two lines — `rate` −0.2995 ± 0.0130 and `A_close` +0.2439 ± 0.0099 with a real but small interaction (−0.0571, 19% of the main effect); both ends of the positive control are exact. **A quantity whose rang",0,1,1,0
README.md,93943,31%,"4 (15.2×). What arrives late is the relational family (power dynamics · bondage · sadomasochism · mental alteration · sensory, 26–31% after age 19); what arrives early is the concrete family (appearance 8.6% · clothing 10.9",0,0,0,0
README.md,94016,8.6%,"ondage · sadomasochism · mental alteration · sensory, 26–31% after age 19); what arrives early is the concrete family (appearance 8.6% · clothing 10.9% · body parts 11.1%). At the item level: the late family's mutual connect",0,0,0,0
README.md,94032,10.9%,"ochism · mental alteration · sensory, 26–31% after age 19); what arrives early is the concrete family (appearance 8.6% · clothing 10.9% · body parts 11.1%). At the item level: the late family's mutual connectivity is **+0.067",0,0,0,0
README.md,94051,11.1%,"eration · sensory, 26–31% after age 19); what arrives early is the concrete family (appearance 8.6% · clothing 10.9% · body parts 11.1%). At the item level: the late family's mutual connectivity is **+0.0674**, the early fami",0,0,0,0
README.md,94233,**9.4%,"connectivity is **+0.0674**, the early family's −0.0075. **And ""a set"" is literal**: the relational family's acquisition ages are **9.4% tighter** than an equally-sized random draw (17.7×, after removing the population schedul",0,0,0,0
