round,artifact,rows,arm_col,seed_col,spread_cols,verdict,why
R001_schema,onset_rsa_framing_swap__framing_swap.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,power_substance_ladder__ladder.csv,68,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,ranking.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,rarity_or_censoring__censoring.csv,25,-,seed,random_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,relationality.csv,19,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,relationality_predicts_onset__relationality.csv,19,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,reliability_ceiling__ladder.csv,144,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,reprice_the_capped_headlines__grid.csv,80,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,rival_world_full_categories__full_categories.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,schedule_as_a_ranking_task__ranking.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,schedule_curve.csv,72,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,schedule_or_rarity.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,schedule_or_rarity__schedule_or_rarity.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,schedule_specification_curve__schedule_curve.csv,72,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,source_asymmetry.csv,3,-,-,"unc_sd,cen_sd",UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,source_asymmetry_uncentred__source_asymmetry.csv,3,-,-,"unc_sd,cen_sd",UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,synthetic_rival_world__rival_world.csv,300,-,-,"noise_0.3,noise_0.5,noise_0.7",UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,the_cap_audit_rerun__grid.csv,48,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,the_control_was_the_thing__item_audit.csv,22,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,the_item_margin__item_margin.csv,4,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,the_last_survivor__influence.csv,28,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,the_tie_bias__tie_bias.csv,20,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,the_unit_is_the_category__unit_test.csv,3,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,tie_bias.csv,20,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,variance.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,whitened_discriminant__whitened.csv,6,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,why_the_gate_failed__noise_null.csv,300,-,-,noise_profile_r,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R001_schema,within_block_vs_cross_domain__within_vs_cross.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,block_inclusion_sweep__block_sweep.csv,80,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,fixed_margin_null__grid.csv,960,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,forced_choice_vs_induction__grid.csv,9,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,gated_vs_ungated_outcome__grid.csv,24,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,graded_positive_control__graded_control.csv,1224,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,grid.csv,24,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,is_the_coverage_law_one_point__influence.csv,8,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,item_person_interaction__grid.csv,384,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,modality_properly_gated__modality_gated.csv,135,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,per_block_additive_floor__grid.csv,576,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,predictable_variance_sort__sort.csv,10,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,published_estimand_seed_spread__published_estimand.csv,6,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,rank_selected_by_prediction__grid.csv,1104,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,reconcile_max_vs_mean__reconcile.csv,24,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,seed_spread_every_headline__resolvability.csv,5,-,-,spread,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,sort.csv,10,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,sweep_K_on_every_deficit__k_sweep.csv,108,-,seed,ceil_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R002_explorer_analysis_corpus,triple_matched_resolvability__triple_matched.csv,48,-,split,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,amplify_with_forced_choice__amplify.csv,4,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,are_the_two_lines_one_quantity__arms.csv,4,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,are_the_two_sides_isomorphic__structure.csv,12,-,split,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,between_pair_dose__grid.csv,150,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,charge_the_shared_basis__grid.csv,207,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,compute_matched_general_vs_specific__grid.csv,920,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,content_position_corr.csv,12,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,content_vs_position.csv,24,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,control_at_the_derived_magnitude__grid.csv,240,-,seed,-,SEED_IS_FAKE,真实臂在 6 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R003_derivation_or_measurement,diffuse_or_concentrated__v_cv.csv,7,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,diffuse_or_concentrated__v_max.csv,7,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,diffuse_or_concentrated__v_rare.csv,7,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,direct_interaction_variance__grid.csv,207,-,draw,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,direction_at_double_n__grid.csv,705,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,dirs.csv,45,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,disjointness_audit__grid.csv,45,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,do_they_have_different_external_anchors__anchors.csv,11,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,does_it_arrive_as_a_package__dispersion.csv,2,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,does_memory_pull_beloved_earlier__grid.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,does_order_matter__grid.csv,120,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,does_the_80_percent_depend_on_the_summary__summaries.csv,5,-,sd,z_rand_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,does_the_map_radiate_outward__grid.csv,24,-,sd,rho_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,does_the_seam_hold__seam.csv,2,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,does_the_specific_spectrum_have_a_cliff__grid.csv,1248,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,dose_on_the_correct_null__grid.csv,130,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,dose_with_balance_controlled__grid.csv,130,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,earliness_or_remembered_centrality__grid.csv,182,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,early_arrival_reshapes__grid.csv,96,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,effective_rank_under_soft_threshold__grid.csv,2208,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,every_component_against_its_own_null__grid.csv,1150,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,expansion_or_deepening__grid.csv,11,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,external_correlates__grid.csv,27,-,sd,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,fix_the_null_and_name_the_direction__dirs.csv,45,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,fix_the_null_and_name_the_direction__grid.csv,144,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,gate_or_demographics__grid.csv,552,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,grid.csv,16,-,reps,real_se,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,hardcoded_verdict_constants__edges.csv,2,-,-,spread_of_ratio,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,how_big_is_the_content_side__content_position_corr.csv,12,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,how_big_is_the_content_side__content_vs_position.csv,24,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,how_big_is_the_content_side__leak_calibration.csv,42,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,how_broad_is_the_minority__grid.csv,80,-,seed,-,SEED_IS_FAKE,真实臂在 4 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R003_derivation_or_measurement,how_many_cross_block_dimensions__grid.csv,1116,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_it_a_trait__grid.csv,9,-,seed,r_half_sd,SEED_IS_FAKE,真实臂在 3 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R003_derivation_or_measurement,is_it_elevation_or_just_width__grid.csv,16,-,seed,-,SEED_IS_FAKE,真实臂在 4 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R003_derivation_or_measurement,is_it_reverse_recall__by_age.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_the_breadth_link_an_arithmetic_bound__by_breadth.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_the_first_bin_effect_censoring__by_age.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_the_first_bin_effect_censoring__growth.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_the_magnitude_shape_robust__grid.csv,1104,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_the_position_tendency_just_sex__sex_control.csv,6,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_the_recall_bias_personal__recall_rel.csv,3,-,-,sb_null_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_the_schedule_a_mean_artifact__grid.csv,64,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_the_trait_link_just_coverage__matched.csv,3,-,sd,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_the_transfer_the_gate__grid.csv,552,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_there_a_boundary_at_all__curve.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,is_there_a_dose__grid.csv,295,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,leak_calibration.csv,42,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,magnitude_in_percentage_points__grid.csv,782,-,seed,"planted_sd,person_noise_pp",UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,matched_difference_correlates__grid.csv,27,-,sd,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,matched_dimensional_budget__grid.csv,2352,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,memory_or_present_narrative__grid.csv,20,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,mixture_or_gradient__grid.csv,65,-,seed,-,SEED_IS_FAKE,真实臂在 5 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R003_derivation_or_measurement,one_family_from_spiky_to_flat__grid.csv,50,-,seed,-,SEED_IS_FAKE,真实臂在 5 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R003_derivation_or_measurement,order_effect_vs_mean_rating__grid.csv,270,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,per_person_misfit__grid.csv,84,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,person_or_item__edges.csv,2,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,plants_rebased_on_the_null__grid.csv,50,-,seed,-,SEED_IS_FAKE,真实臂在 5 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R003_derivation_or_measurement,pos_vs_content.csv,6,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,position_or_content__pos_vs_content.csv,6,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,rank_sweep_under_l1__grid.csv,552,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,rare_affinity_leave_block_out__grid.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,rare_affinity_on_forced_choice__grid.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,recall_corrected_onsets__grid.csv,144,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,redraw114.csv,20,-,draw,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,redraw_114_and_101__redraw114.csv,20,-,draw,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,redraw_the_curveball_null__redraw.csv,10,-,draw,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,regularised_throughout__grid.csv,552,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,reprice_the_three_axes__bootstrap.csv,3,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,row_preserving_null_more_seeds__grid.csv,144,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,sd_as_a_function_of_mean__grid.csv,45,-,seed,-,SEED_IS_FAKE,真实臂在 5 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R003_derivation_or_measurement,soft_threshold_the_interaction__grid.csv,414,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,spiky_or_flat__grid.csv,24,-,seed,"sd_hi,sd_all,sd_car",UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,split_delta_by_the_content_line__by_side.csv,12,-,split,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,surprisal_conditioned_on_count__grid.csv,288,-,seed,-,SEED_IS_FAKE,真实臂在 6 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R003_derivation_or_measurement,surprisal_fixed_reference__grid.csv,240,-,seed,-,SEED_IS_FAKE,真实臂在 6 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R003_derivation_or_measurement,symmetric_correction__grid.csv,1656,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,the_first_thing_you_ever_wanted__grid.csv,11,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,the_four_way_decomposition__grid.csv,276,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R003_derivation_or_measurement,the_metric_was_never_swept__grid.csv,300,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
