v_page,v_win,v_term,v_named,v_pos,v_ctx
README.md,80,category count,False,522532,* (`#257`) | correlates only +0.2036 with position; both survive jointly; total category count controlled — the gap **grows** to +0.4905 ⚠ **`#366`: a
README.md,80,pick count,False,522908,"lationship style, gender tolerance, politics, straightness, BMI, partner count, pick count, porn habit, self-reported honesty), a commonality decompos"
README.md,80,breadth,False,526969,t rho_i (−0.8499 vs 0.8779) |  **Read the reliability column first.** The three breadth types (0.56–0.72) are the most reliable person-level quantitie
README.md,80,category count,False,534190,"whether they have acted on everything that arouses them. Controlling S, c3⁻ and category count, shame predicts **−0.0833** (se 0.0123) on having acted"
README.md,80,category count,False,537535,"son-level variables against the belief residual (after removing acting, S, c3⁻, category count and shame), the largest is **+0.0888** against a max-of"
README.md,80,category count,False,540483," score predicts shame at **+0.0827** raw and **+0.0657** controlling S, c3⁻ and category count (se 0.0126), **+5.10 sd** past a permutation threshold "
README.md,80,category count,False,542587,"re not one construct.** That item is not inverted shame: with shame, S, c3⁻ and category count removed, the residual still has structure (largest \|r\"
README.md,80,category count,False,552253,"fying the shame→acted relation by partner count (0 versus ≥1), controlling age, category count and — in the narrow arm — S and c3⁻, the coefficient is"
README.md,80,breadth,False,553021,"se they require ≥8 blocks. ⚠ **`#390`: put in one model, intensity survives and breadth collapses — the withdrawal is reversed by a test registered in"
README.md,80,breadth,False,553336,"1, threshold 0.0253 from permuting both columns together) while the block-count breadth score falls from −0.0430 alone to **−0.0009**. So `#389`'s −0."
README.md,80,breadth,False,553414,t breadth score falls from −0.0430 alone to **−0.0009**. So `#389`'s −0.026 was breadth speaking for intensity. **The three outcomes and their predict
README.md,80,category count,False,558629,"arry more shame.** Regressing shame on that within-person ordering, controlling category count and S, gives **−0.0287** (95% CI [−0.047, −0.011], −3.0"
README.md,80,breadth,False,565208," this project ends up pointing at it — position +0.1185 [cov≥8 · scope stated], breadth-type c3 +0.1286, the between-block > contrast on the disjoint "
README.md,80,breadth,False,566252,"67]**, `#320`) — the same size as position (+0.1185 [cov≥8 · scope stated]) and breadth-type c3 (+0.1286). It survives controlling response style (**+"
README.md,80,breadth,False,568480," are compared; the split is a description, not a causal claim. ⚠ **`#421`: and ""breadth"" on this page is not one quantity.** Enumerating the five brea"
README.md,80,breadth,True,568546,"*`#421`: and ""breadth"" on this page is not one quantity.** Enumerating the five breadth measures actually used — onset-category count, fetish-category"
README.md,80,category count,True,568585,"not one quantity.** Enumerating the five breadth measures actually used — onset-category count, fetish-category count, endorsed-sex-act count, block c"
README.md,80,category count,True,568608,"merating the five breadth measures actually used — onset-category count, fetish-category count, endorsed-sex-act count, block coverage and total picks"
README.md,80,category count,True,568743,"and total picks — only **6 of their 10 pairwise correlations reach 0.6**. Onset-category count, block coverage and total picks intercorrelate at **+0."
README.md,80,category count,True,568906, and behave as one thing (how much of the survey a person engaged with); fetish-category count sits at its edge (+0.62 to +0.74); and **the endorsed-s
README.md,80,category count,True,569090,"lating only +0.26 to +0.51 with the rest** — its weakest link being with fetish-category count at **+0.2615**. **So ""breadth"" is at least two things —"
README.md,80,breadth,True,569127,"est** — its weakest link being with fetish-category count at **+0.2615**. **So ""breadth"" is at least two things — how many kinds of thing interest you"
README.md,80,breadth,False,569459,"ixes it rather than ninety annotations.** Auditing both pages, about 90 uses of breadth-like wording do not name a specific measure within their immed"
README.md,80,breadth,True,569725,") names it explicitly**, as `Totalsexacts` or ""endorsed sex acts"". **So a bare ""breadth"" on this page never means the sex-act count.**  ⚠ **`#423`: an"
README.md,80,breadth,False,577638,"c, how much acted on — with **rarity of taste, how well ordinary content works, breadth type, category count and age all controlled**, more porn use s"
README.md,80,category count,False,577652,"ted on — with **rarity of taste, how well ordinary content works, breadth type, category count and age all controlled**, more porn use still predicts "
README.md,80,category count,False,580407,"s differ by more than their own resampling spread. ⚠ Two of the five (porn use, category count) have totals too near zero for their share to be estima"
README.md,80,breadth,False,580664,"nts away from doing turns out to point at something else instead.** `c3⁻` — the breadth-type coordinate — is the only one here whose path to ""how much"
README.md,80,breadth,False,582805,"one of the direct path (**−0.036**, larger than the total). **So people high on breadth type feel they cannot change this even though the one thing ab"
README.md,80,breadth,False,583477,"ot what you like — it is how your liking is distributed.** The direct path from breadth type to ""I cannot change this"" was the largest unexplained thi"
README.md,80,breadth,False,584791," corroboration, not as the test.  ⚠ **`#441` narrows this: the shape is not the breadth-type contrast, and that contrast is the weakest of the three.*"
README.md,80,breadth,False,585204,"*0.028**), the first component reaches **0.052**, the second **0.053**, and the breadth-type third only **0.036**. **So feeling unable to change what "
README.md,80,breadth,False,585490,"e is right that it is not about content, but wrong to leave the impression that breadth type is the carrier. ⚠ **`#442` corrects this**: the first com"
README.md,80,breadth,False,587148,"3 / 0.035** to **0.052 / 0.062 / 0.047** — none collapses and two **grow**, the breadth-type one by **31%**. **So involvement was masking the relation"
README.md,80,breadth,False,601539,"rks"" (**−0.066 / −0.127**) and onset age (**−0.058 / +0.050**) move **both**; **breadth type** (**+0.082 / −0.030**) and **porn use** (**+0.059 / −0.0"
README.md,80,category count,False,601946,awn to and how much you use pornography reach the shame and stop there.** ⚠ The category count looked like the weakest link — a measure of how much of
README.md,80,category count,True,602217,"asures this page enumerates, only two move the changeability outcome: the onset-category count (**−0.035**) and **block coverage** (**−0.042**), both "
README.md,80,breadth,False,603888,"ches the changeability outcome (**−0.047**) and not shame (**+0.017**), while **breadth type still reaches shame (+0.078) and not changeability**, aga"
README.md,80,category count,False,604240,"tions about the same tastes, landing in different places.** ⚠ In this model the category count falls just under the bar (**−0.031**) where in the mode"
README.md,80,breadth,True,604900," fetish categories the **weakest of the four at 0.131**. **So it is not ""fetish breadth"" — it is the same overall-engagement-breadth direction that bl"
README.md,80,breadth,True,604945,"at 0.131**. **So it is not ""fetish breadth"" — it is the same overall-engagement-breadth direction that block coverage and the category count mark, and"
README.md,80,category count,True,604991,"it is the same overall-engagement-breadth direction that block coverage and the category count mark, and it lands on the changeability path exactly wh"
README.md,80,breadth,False,605124,"y path exactly where they do.** The sentence above should be read as engagement breadth, not fetish content. ⚠ The same check kills a guess of mine in"
README.md,80,breadth,False,605220,ish content. ⚠ The same check kills a guess of mine in the other direction: the breadth-type component was supposed to be the one with no countable co
README.md,80,breadth,True,605662,ve.** Taking that strongest correlate — the endorsed-sex-act count — out of the breadth-type coordinate altogether: it accounts for **21%** of the coo
README.md,80,breadth,False,606398, out.** The six counts on this page **jointly** account for only **31%** of the breadth-type coordinate — the strongest alone was 21% — so **69% of it
README.md,80,breadth,False,611127, which is a limit of the design rather than a result.** Asked of the engagement-breadth coordinate instead — build it from the sparsely-entered blocks
README.md,80,breadth,False,615395,"osite costs and cancel. Splitting the people in the most-entered domains by the breadth-type coordinate — a cut this page already carries, with its di"
README.md,80,breadth,True,617971,"mediation at all. Reading rule, established rather than assumed: **unqualified ""breadth"" refers to the engagement family — onset-category count, block"
README.md,80,category count,True,618020,"r than assumed: **unqualified ""breadth"" refers to the engagement family — onset-category count, block coverage, total picks and fetish-category count,"
README.md,80,category count,True,618075,"ngagement family — onset-category count, block coverage, total picks and fetish-category count, which intercorrelate +0.62 to +0.86 — and the count of"
README.md,80,breadth,False,621593," the position score reads **19–21** of 31, the between-block contrast **6–12**, breadth component 1 **10–12**, component 3 **18–22**. Width is driven "
README.md,80,pick count,False,625470," survives at **+0.986** under the same treatment; **67%** survives removing the pick count, and its correlation with pick count (+0.608) is **lower** "
README.md,80,pick count,False,625507,"e treatment; **67%** survives removing the pick count, and its correlation with pick count (+0.608) is **lower** than the null's (+0.719). **And it is"
README.md,80,pick count,False,626287,"cts **shame at +0.1185 [cov≥8 · scope stated]**, and it survives every control: pick count (+0.1155), sex (+0.1154), and the **content** score itself "
README.md,80,pick count,False,626683,peline the *therapeutic* item starts at +0.0937 and **collapses to +0.0075 once pick count is controlled** — so this is not a generic artifact. ⚠ At t
README.md,80,breadth,False,627365," — shame has a second route, and it is slightly the stronger one**: the third **breadth-type** component (`#229`, person-score split-half **+0.5631**)"
README.md,80,breadth,False,627642," position score. Entered together (standardised betas, n=6,717) **both survive: breadth-type-3 +0.1090, position +0.0963**. This does **not** retract "
README.md,80,breadth,False,628328,ick rate (a quantity external to the score's construction) and build a residual breadth score from each half. The **ordinary** half predicts shame at 
README.md,80,breadth,False,628935," equally). **Being broad about ordinary things goes with *less* shame; the same breadth, moved to where few people go, becomes shame.** ⚠ ""Transgressi"
README.md,80,breadth,False,629318,"282) and the between-block contrast `D` (transgressive-half minus ordinary-half breadth, +0.6785; `corr(S,D) = +0.2029`) against all 31 outcomes. Thei"
README.md,80,breadth,False,631648,"587 ± 0.0143 (**33.5× the null's own spread**), k=3 at 0.9529 (**102×**). **So ""breadth has shape, at least two dimensions"" is cross-instrument; only "
README.md,80,pick count,False,636227,74 drop is selection and range restriction and roughly 0.10 is not; controlling pick count flattens the curve to 0.123. **The relation is strongest wh
README.md,80,pick count,False,638154,"t has not yet named or tested. ⚠ **This split is partly produced by controlling pick count**: evaluated *marginally*, the position score predicts `ani"
README.md,80,pick count,False,638398,.1185 [cov≥8 · scope stated]** — the clean division of labour appears only once pick count is held fixed (`#192`). ⚠ **The orthogonality is constructe
README.md,80,breadth,False,638892,urely idiosyncratic combinations are invisible to it  ⚠ **`#227` — 这个「内容」维度的正名是 breadth（你对多少东西说「是」），不是内容口味**：the block-level principal components were
README.md,80,breadth,False,639195,", so every content person-score behind `#188`/`#189` is a partially cancelling ±breadth mixture. Aligned by **leave-one-out sign consensus** (15 of 32"
README.md,80,pick count,False,639320,"ign consensus** (15 of 32 blocks flip), the dimension correlates **+0.8320 with pick count**, and **+0.5772 even after the position score is removed**"
README.md,80,breadth,False,640284,ks per half a random-sign sum keeps ~1/√16 of a strong common signal. **The raw breadth reading does not depend on any of this**: it is +0.8320 aligne
README.md,80,breadth,False,640436,"and **+0.5154 unaligned**, both above the registered 0.5  ⚠ **`#228` — and that breadth is not a single response style**: split the options *inside* e"
README.md,80,breadth,False,640652,"n×block cell, so every block-level property cancels — and a person's **residual breadth profile across blocks replicates at +0.4290 ± 0.0141** (77,872"
README.md,80,breadth,False,641224,".429, because the phenomenon is already there**. Scope is narrow: this refutes «breadth is *only* a global response style», **not** «the global level "
README.md,80,category count,False,643929,"e by whether they reported **≥8 onsets by age 14**, and match the rest on total category count (both medians 14). The early-accumulating group gives *"
README.md,80,category count,False,649771,"ve. ⚠ Connectivity has **no knee** (1.6×), so ""closes at 17"" holds only for the category count | `#135` `#136` | | **For a third of people the map clo"
README.md,80,category count,False,650906,"ithin-person measurement, no cross-sectional assumption). Cross-sectionally the category count grows only from 12.4 to 12.9 over fifteen years (+4.5%;"
README.md,80,breadth,False,651432," person's own permutation spread this is z = −0.5515**, and **every one of five breadth strata is resolvably negative (17.5–27.3×) — the effect is uni"
README.md,80,breadth,False,651790,after normalisation the residual gradient is *smaller* than what a deliberately breadth-independent planted effect produces. The content line does not
README.md,80,breadth,False,914558,"** (119 pairs, agreement 1.0000); display order is destroyed `#69` | | Separate breadth from acquiescence | Needs reverse-keyed or forced-choice items"
README.md,80,breadth,False,915228,"nset age, its onset spread, its holders' mean position score, its holders' mean breadth-type score) give **R² = 0.024** against a permutation null of "
README.md,80,breadth,False,924008,"ction)** — the retrospective induction claim, its two absent signatures and the breadth it actually tracks are stated once in the standing-claims tabl"
README.md,80,breadth,False,924708,tion is unusable as an outcome measure — phase 3 must be prospective.  **[R07 · breadth](A07_breadth)** — Quantity without shape. A person's set is on
README.md,80,breadth,False,924721,ble as an outcome measure — phase 3 must be prospective.  **[R07 · breadth](A07_breadth)** — Quantity without shape. A person's set is only **0.88%** 
README.md,80,breadth,False,925448, index that is orthogonal to the POWER axis (+0.024) but correlates +0.385 with breadth itself; response style and erotic endorsement cannot be separa
README.md,80,breadth,False,925595,"arated without balanced-keyed items, which this release lacks.  **[E01·R05 · is breadth the object](E01_sexual_as_a_value_not_a_category/A05_is_breadt"
README.md,80,breadth,False,925659,**[E01·R05 · is breadth the object](E01_sexual_as_a_value_not_a_category/A05_is_breadth_a_nuisance_or_the_object)** — Nearly domain-encapsulated. All 
README.md,80,breadth,True,925985,"gated `totalfetishcategory` with acquiescence controlled, childhood adversity → breadth is **r = +0.059, effect/floor 7.5** — real and small, matching"
README.md,80,breadth,False,926340,") *and* independently with the coordinates (**0.0439** after matching coverage, breadth and sex — 3.6× the neuroticism reference). Direction is unavai"
README_zh.md,80,计数,False,33584," 1。** 91 条主张全部读一遍(判据「把「性」换成「道德」,主张是否失去内容」写死在读到任何一行之前;而我知道自己想要「不用重组」,所以同时报严格与宽松两个计数)。**结果 严格 9 · 宽松 12,而阈值在 10 —— 决定跨了阈值。** ⚠⚠ **而正是「决定取决于我」这句话逼我去查为什么,"
README_zh.md,80,计数,False,33853,"** ⇒ **受影响的只有一条,就是那条已经挂了前向指针的。** ⇒ **一句关于这项工作本身的话:这是本会话第三次「把一个相邻的量当成要判的那个量」—— 数了计数而问题问结构、正对照与筛子共享盲点、判据判「用没用」而决定问「倒没倒」。三次都不是算错。** ⚠ 而结论与上一行的猜测一致这件事必须说清"
README_zh.md,80,计数,False,42604,"具上量过)只有 **4** 条 —— `Entry 653 · 686 · 689 · 690`。**两个都报,别只信宽的**(Entry 704)。 ⚠ **计数仍是 4,但 `Entry 653` 的那两具换人了**:它原本靠 GSS + NSFG,而 NSFG 那条腿在最优符号下落进自己的零("
README_zh.md,80,计数,False,42709,"换人了**:它原本靠 GSS + NSFG,而 NSFG 那条腿在最优符号下落进自己的零(Entry 718),现在靠的是 **GSS + MFQ**。**一个计数不变,不代表它底下的东西没换。**   **社会侧**(SCCS 186 个社会)  | 一句话 | 数 | 控制 | |---|---"
README_zh.md,80,计数,False,57732,"*,零容忍会逼我改几百个旧文件(`L81`);⚠ **357 处不是「357 个错」**,它是**待人工判的队列而我一条都没判过** ⇒ **不许当成项目的缺陷计数**(`#800`:存活不构成证据,存量同理)⟩| | **修好切法再重数:总体虚高 28%,而 `#833` 自己也记错了缺陷的形状*"
README_zh.md,80,计数,False,58384,"8%)** —— ⚠ **单位数只变 32 而字符变近三成,因为重复的是文本不是单位**(表行正文同时坐在 `row` 与某个 `para` 里);**三轮关键计数(谓词用 `ast` 从它们自己的文件读出,一个字符都不手抄 —— `#841` 那把新尺子的第一个正面用例):`#798` CLUMP"
README_zh.md,80,计数,False,58975,"己的输出没说的话**;⇒ **一句关于方法的话:一个总体定义错了 28%,而这 28% 是同一段文本被数了两次;重复的是文本不是单位,所以「有几个单位命中」这种计数受影响,而「有没有一个单位裸着」这种判词可能完全不受影响。计数变了不等于结论变了,但也绝不等于结论没变 —— 这两句话我这一轮只有资格说"
README_zh.md,80,计数,False,59006,"了 28%,而这 28% 是同一段文本被数了两次;重复的是文本不是单位,所以「有几个单位命中」这种计数受影响,而「有没有一个单位裸着」这种判词可能完全不受影响。计数变了不等于结论变了,但也绝不等于结论没变 —— 这两句话我这一轮只有资格说前半句** `[#842「总体虚高 28%」]`(Entry "
README_zh.md,80,计数,False,59253,ls()`)—— **正控**:旧版必须把写在 `#100` 锚后的注记**归给 `#101`**;**正控 β**:旧版 `para` 必须含有表行文本(重复计数本身)、新版必须不含;**负控**:没有表行的页面上两版必须给出**相同**的 `para` ⇒ 全过;② 前提(跑前写下的最强混淆):
README_zh.md,80,计数,False,68774,"错」**,是**已知误报的存量**,棘轮只拦**新增**的,而消掉一处新增只需在句子里写一个 `homosex` 或「作用域」⇒ **不许把 8 当成项目的缺陷计数**(`#800`/`#841` 的同一条:存活不构成证据,存量同理);⚠ **真正的修法是给编号加类型而不是给闸加正则** —— 若页"
README_zh.md,80,计数,False,70547,"能跑,**设计时没预见到,如实记下**⟩| | **剩下两条判词也重算了,而「43 处退化」是我的代理在数题名** | ⚠ **作用域**:本轮对象是页面自己的计数,与 `#846` 那条 `homosex`-only 的结论无关。**还 `#843`①** —— `#843` 把 `#798` 的"
README_zh.md,80,计数,False,71177,"duc`**;实测归属:那 43 处里 **`#846` 及之后的条目占 4 处**,其余 39 处分布在更早的条目上 ⇒ **登记为「未分辨的存量」,不是缺陷计数**(`#841` 的 357、`#848` 的 8,同一条);⚠ **正控在本轮也失败过一次,是本会话第三次同一形状**:第一版植入夹"
README_zh.md,80,计数,False,71977,"登记为未分辨,既不是「39 处要修」也不是「没事」**;⚠ 若要真判 `#807` 今天是否退化,得把 `TOP` 从「题名」换成「那条主张」,**而那会让新旧计数不可比**(`#797` 那类:两套不可比的东西并存)⇒ **登记为想法,不是计划**(`#850`①)⟩| | **一张永远自洽的空表"
README_zh.md,80,计数,False,72661,"漏了 169** ⇒ **正控证明了它会开火,却没证明它看得见我要主张的那种东西**(`realstat` 点名的那条,**本会话第四次**)⇒ 紧式/宽式两个计数现在**永远并列印出**;**② 把控制夹具当成了对象** —— 修好后作用域内 6 笔缺行里有一笔是 **`#999①`**,原文是「"
README_zh.md,80,计数,False,75156,"前者写**;⚠ **不要去补那 124 条缺失的边** —— 补边就是重写历史条目的 `NEXT`,**而 `#850` 刚证过:改一个已发表轮次的谓词会让新旧计数不可比** ⇒ 正确做法是**从今往后每笔欠账都进表**(`#851` 的闸已强制),**让缺口停止增长而不是回填**(`L81`:an"
README_zh.md,80,计数,False,80114,*本会话四次「判词说了输出没说的话」分成两类**:`#834`(列了「年龄什么都没显示」而上一行正印着 age 存活)· `#842`(「有判词受影响」而只量了计数)· `#850`(「今天有退化」而 `TOP` 匹配的是题名)——**三次错在字符串**;`#854` ——**一次错在判据本身** 
README_zh.md,80,计数,False,99838,")上 ⇒ 严格居中那组是空集**(`#864` 用的是含端点的 `np.digitize`),**不是笔误,是离散变量的粒度**,顺手把空网格改成显式报错并逐轴计数;⇒ **一句关于人的话:在「该不该拦着他」上,那几块站得离人群最远的少数,既不是同一批人,也不站在同一边 —— 最虔诚的那三分之一和最"
README_zh.md,80,广度,False,100580,"块反对者与块内反对者反对得一样多吗」被①块本来就预测反不反对、②只看「至少反对一次」的人(**在结局上做条件,collider**)**两件事共同强制** ⇒ 广度差必须减掉**合成零**(每题独立抽、保留每层逐题边际、**同样施加 R≥1**);⇒ **干净的估计量来自定理不是直觉**:**Ras"
README_zh.md,80,计数,False,107073,"(≥2 轮次脚本的**可执行代码**、且 `lib/` 里没有家)= **本轮开始 19 个,搬走 `biomale` 后剩 18 个****;⚠⚠ **而这个计数自己错过两次、一次一个方向**:不剥字符串时是 **18**(`lib/bks_items.py` 的 **docstring 引了一句"
README_zh.md,80,计数,False,108545,"*是**一条规则却不以行内 `!=` 的形状出现,**形状表看不见它 ⇒ `PROXY ⊊ PROPERTY`,已写进代理账**;② **两个形状没有正控 ⇒ 计数不可用**,而造一个正控需要先有一个已知答案,本轮没有 ⇒ **不计入,不是「以后补」**;③ **本轮没有量任何关于人的东西**,它是"
README_zh.md,80,breadth,False,109009,"许说影响很大」**,本轮去量;⚠ **而这不是随便一个 5%**:那 8 个文件全部落在 `E01` 的 `A05`–`A07`,产物正是「第三个维度的正名是 breadth」「宽度有形状,第一个名字是体液」「ALS 载荷当人层变量」—— **被污染的位置恰好是 E01 给维度起名字的那一步** |"
README_zh.md,80,计数,False,134015,"a)自 `#798` 起每次「裸着 N / 总体 M」,分母都把 131 个表行数了两遍 —— 那些「总体 379 个单位」是虚高的**;**(b)而「裸着」的计数在 `row` 单位下是对的**(`row` 看得见行尾注记)**⇒ 过去的落地判定没有被推翻,被推翻的是它们报出的总体规模**;**修"
README_zh.md,80,计数,False,138668,"子,而不是一句只能被重抄的话**;⚠ **而本轮必须自己说清楚它不是什么**(`§0.2`):**建这张表不是在还债,是在获得「能记下欠了什么」这件能力;今天的计数不是产物,那张表和它的闸才是** —— **它的价值在于以后能挡住什么,不在今天返回什么**;⇒ **一句关于这个项目自己的话:它现在有"
README_zh.md,80,计数,False,141266,"十几轮的执行句写法各异,而我只喂了一组模式)⇒ **本轮的耐用产物是那份 26 行清单,不是那个 0**(`§0.2`:站得住的是清单这件工具,不是它此刻返回的计数);⇒ **一句关于这个项目自己的话:它欠着二十六笔具名的账,而在此之前连「有多少笔」都是抄来的;现在清单可以被一行 `grep` 查出"
README_zh.md,80,计数,False,142842,"个数字从写下的第一天起就与它自己的清单不符,而它被当作事实重复了二十五次**;更糟的是 **`#808` 的 NEXT 明写「`#802`① 已还」,而同一行的计数没有动** ⇒ **`realstat`「收尾句是主张,却从来没有控制」的教科书实例 —— 而它出现在一个整套纪律都是「要测,不要假设」"
README_zh.md,80,计数,False,143815,"配器的灵敏度只在一个已知阳性上验证过 —— `#814` 刚立过:只跑过一次的控制没有分辨率。**⇒ **所以本轮的耐用产物是那份清单这件工具,不是它此刻返回的计数。**⇒ **一句关于这个项目自己的话:它欠着二十六笔具名的账,而在此之前连「有多少笔」都是抄来的;现在清单可以被一行 `grep` 查"
README_zh.md,80,计数,False,145446,"% 区间的额定值:整张网格从来没做过多重性** | **`#820` 登记的那笔债到期**(「补上多种子之前,单个格子不许当硬事实」,而我随即用单个格子拼出一个计数写进 NEXT):8 题 × 6 十年 × **5 个种子 × 2 个 `B`(1500/6000)**;**逐格标记的种子间翻转数 ="
README_zh.md,80,计数,False,166686,",−0.238] 对匀速与对零皆 EXCLUDES** · 2010s +0.023 [−0.207,+0.252] · 2020s 只有 2 个年份**不参与计数(跑前定的规矩)** ⇒ **5 个参与计数的十年里 3 个偏离匀速 ⇒「匀速」死了** | ⚠⚠ **一句关于人的话,比「五十年翻了三"
README_zh.md,80,计数,False,166708,"DES** · 2010s +0.023 [−0.207,+0.252] · 2020s 只有 2 个年份**不参与计数(跑前定的规矩)** ⇒ **5 个参与计数的十年里 3 个偏离匀速 ⇒「匀速」死了** | ⚠⚠ **一句关于人的话,比「五十年翻了三倍」具体得多**:**八十年代它没有可测量的"
README_zh.md,80,计数,False,193032,"在 MFQ/MSSCQ/SCCS 上;⇒ **严格/宽松那个跨阈值的分歧,根源不是我的判断余地,是我在量一个错的东西**;⚠ 本会话第三次同族:`#791` 数计数而问题问结构 · `#792` 正对照与筛子共享盲点 · 本轮判据判「用没用」而决定问「倒没倒」 —— **三次都不是算错,是把一个相邻"
README_zh.md,80,计数,False,202239," 0.375),1 个不显示**;⚠ **那一格被定位了,不被解释** —— 不许读成「年轻世代的差距消失了」,那需要它自己的一轮;⚠ **不可读的 13 格已计数并全部列出**(不许只报活下来的);⚠ 分位是对**格**取的不是对人,而 37 个格**不是 37 个独立证据**(共享同一批人);⚠"
README_zh.md,80,广度,True,225061,"中位 **0.345pp** —— **相当于中位结局已解释方差的 18.2%** —— 而且结局越好解释,这个成分越大(`r` = **+0.609**)。把广度代理换成块覆盖数后它仍在(25/29 为正;两个代理的共享向量相关 **+0.892**)。⚠ 共同性是**记账项**不是因果量:它只说"
README_zh.md,80,勾选数,False,225490," > **B 已死**(`#179`:位置不是一个不带立场的坐标 —— 它带着羞耻)。 > **C 唯一可分的预测没有支持**(`#234a`:按羞耻分层、匹配勾选数,宽度剖面的两半复现是 > **0.4672 / 0.4611 / 0.4718** —— 平的,而这个设计的正对照在比 C 所预测的"
README_zh.md,80,勾选数,False,226246,多冷门 | **+0.432** | 块(32 道多选) | 未验 | **+0.1185 [cov≥8 · scope stated]** | 9/20 | 勾选数已控(+0.1155)· 性别 · 内容分 | | **跨块对比 D** —— 你在哪些领域敞开 | **+0.6785** | 块 
README_zh.md,80,勾选数,False,226511,"2 ± 0.0171,即**上限的 86%**;低于上限是可分辨的(7.7 个展布),但绝对差只有 0.13。保留两行是因为残差可分辨,不是因为它们独立。 | 勾选数在起始仪器上几乎不存在(+0.0428) | | **宽度剖面** —— 你被打开的形状 | **+0.4290** | 块 | **"
README_zh.md,80,勾选数,False,226735,"*29 里 8,跨六个选项劈半种子读作 3–13**(`#255` —— ⚠ `#254` 的「什么都不预测」**已撤回**:那个读数来自一个不巧的种子) | 勾选数已控 · 块层属性已排除(`#228b`) | | 宽度类型 c1 | **+0.6429** | 块 | 未验 | `UNCOMPU"
README_zh.md,80,勾选数,False,226847,"型 c1 | **+0.6429** | 块 | 未验 | `UNCOMPUTED` | 13 → **控制后 9,读作 6–12**(`#257`) | **勾选数 · 性别 · 位置分 S 三重已控**(`#252`) | | 宽度类型 c2 | **+0.5778** | 块 | 未验 | `"
README_zh.md,80,勾选数,False,226965,"类型 c2 | **+0.5778** | 块 | 未验 | `UNCOMPUTED` | 11 → **控制后 6,读作 4–8**(`#257`) | **勾选数 · 性别 · 位置分 S 三重已控**(`#252`) | | **宽度类型 c3 —— *你把开放花在哪儿*** | **+0.5"
README_zh.md,80,类别数,False,227190,"| **+0.1286** | 21 → **控制后 19,读作 17–21**(`#257`) | 与位置分只相关 +0.2036,同时进回归两个都活;控制总类别数后差**变大**到 +0.4905 ⚠ **`#366`:这条路没有另外两条干净。** 拿 **20** 个**非坐标**人层量做 p"
README_zh.md,80,广度,False,229640,"(自助 95% 区间 **[+0.088, +0.167]**,`#320`) —— 与位置分(+0.1185 [cov≥8 · scope stated])和广度型 c3(+0.1286)同量级。它扛住了答题风格的控制(去衰减 **+0.0791**,保留 61%)。缺席的不是信号,而是它的**独"
README_zh.md,80,计数,True,230049,"度。用一道**措辞把方向锁死**的同族题来标定整个家族 —— *「我已经实践过所有唤起我的东西」*,若「值越高 = 越同意」,它**必须**随一个人认可的性行为计数上升 —— 对两个计数锚给出 **+0.118** 与 **+0.056**。**所以「值越高 = 越同意」成立,而本页每一条羞耻结论此"
