col,nuniq,n,ordered,used,construction,vals
"""In general, when my romantic relationships end, who initiates the breakup?"" (y33ksrt)",0,0,0,0,0,[]
"""I usually don't leave romantic relationships unless there's a very serious violation"" (b7",0,0,0,0,0,[]
Getting catcalled on the street (or the thought of getting catcalled) feels more: (3qh0yh8,0,0,0,0,0,[]
Are you on hormonal birth control? This is the pill or any hormonal implant (pbj1u8c),0,0,0,0,0,[]
Where are you currently at in your menstrual cycle? Options are based on a typical 28 day ,0,0,0,0,0,[]
How horny have you been in the last 24 hours? (2hyrmvh),0,0,0,0,1,[]
How horny are you right now? (1jtj2nx),0,0,0,0,0,[]
Are you currently experiencing PMS symptoms? (g953661),0,0,0,0,0,[]
Do you have baby fever? (9stu9yy),0,0,0,0,0,[]
bmi,0,0,0,1,0,[]
bondageaverage,16,8701,1,0,1,"[np.float64(0.0), np.float64(0.33), np.float64(0.67), np.float64(1.0), np.float64(1.33), np.float64(1.67)]"
straightness,0,0,0,1,0,[]
politics,0,0,0,1,0,[]
childhood_adversity,0,0,0,1,0,[]
childhood_gender_tolerance,0,0,0,0,0,[]
