page,token,ctx
README_zh.md,−22.2%,"10 条有输出但取不到配套的效应—零对)。 ⚠⚠ **而这一页所有的归一数都是低估,这一条是在合成世界里量出来的,不是假设的。** 真值已知、噪声已知、边际偏斜已知,4 档(与 GSS 同)· 27 格 · 每格 200 次:**生 −28.5% · 只归一 −22.2% · 只衰减 −16.6% · 两者复合 −9.5%** —— **四个全都低估,而复合最接近真值,两者的改善近似可加 ⇒ 它们修的不是同一件事,可以复合**(Entry 736)"
README_zh.md,−16.6%,"的效应—零对)。 ⚠⚠ **而这一页所有的归一数都是低估,这一条是在合成世界里量出来的,不是假设的。** 真值已知、噪声已知、边际偏斜已知,4 档(与 GSS 同)· 27 格 · 每格 200 次:**生 −28.5% · 只归一 −22.2% · 只衰减 −16.6% · 两者复合 −9.5%** —— **四个全都低估,而复合最接近真值,两者的改善近似可加 ⇒ 它们修的不是同一件事,可以复合**(Entry 736)。⚠ **而即使复合仍低估"
README_zh.md,63.6%,"度」(自称什么)解释得更多 —— 21.0% vs 13.8%。** ⚠ **判词是 W-M:66.9% 落在我预注册的 50%–75% 之间,判不了,而我没有改阈值。** ⚠⚠ **而本轮最该记的是关于我自己的:这是连着第二次落进自己留的中间带**(上一次 63.6%)。两次都不是世界含糊,**是我把阈值当成圆整数去拍** —— 它应当由某个可测的量导出:该效应自己的零、MDE、或另一个已知解释变量的份额(本轮政治的 9.4% 就是一把现成的尺"
README_zh.md,9.4%,"值。** ⚠⚠ **而本轮最该记的是关于我自己的:这是连着第二次落进自己留的中间带**(上一次 63.6%)。两次都不是世界含糊,**是我把阈值当成圆整数去拍** —— 它应当由某个可测的量导出:该效应自己的零、MDE、或另一个已知解释变量的份额(本轮政治的 9.4% 就是一把现成的尺子)。⚠ 三个宗教量彼此相关(ρ(出席, 认同强度) = −0.5083),所以**「三个一起」不是三份独立的解释**;而它们全是自我报告,偏相关也不是因果调整。"
README_zh.md,16.0%,"告,偏相关也不是因果调整。`[#762「宗教解释三分之一,政治解释一成,而还剩六成二」]`。 ⚠⚠ **而同一轮的第二具仪器把前两个份额反了过来 —— 却没有反第三个。** MFQ 自带宗教出席变量,换得动就不许写豁免:在它上面(n=5,251)**宗教解释 16.0%、政治解释 28.7%,而两者全放后的残余是 62.6%** —— **与 GSS 的 62.4% 差 0.2 个百分点。** ⇒ **两具仪器在「宗教重要还是政治重要」上完全相反"
README_zh.md,28.7%,"整。`[#762「宗教解释三分之一,政治解释一成,而还剩六成二」]`。 ⚠⚠ **而同一轮的第二具仪器把前两个份额反了过来 —— 却没有反第三个。** MFQ 自带宗教出席变量,换得动就不许写豁免:在它上面(n=5,251)**宗教解释 16.0%、政治解释 28.7%,而两者全放后的残余是 62.6%** —— **与 GSS 的 62.4% 差 0.2 个百分点。** ⇒ **两具仪器在「宗教重要还是政治重要」上完全相反(GSS 宗教是政治的"
README_zh.md,62.6%,",政治解释一成,而还剩六成二」]`。 ⚠⚠ **而同一轮的第二具仪器把前两个份额反了过来 —— 却没有反第三个。** MFQ 自带宗教出席变量,换得动就不许写豁免:在它上面(n=5,251)**宗教解释 16.0%、政治解释 28.7%,而两者全放后的残余是 62.6%** —— **与 GSS 的 62.4% 差 0.2 个百分点。** ⇒ **两具仪器在「宗教重要还是政治重要」上完全相反(GSS 宗教是政治的 3.5 倍,MFQ 政治是宗教的"
README_zh.md,62.4%," **而同一轮的第二具仪器把前两个份额反了过来 —— 却没有反第三个。** MFQ 自带宗教出席变量,换得动就不许写豁免:在它上面(n=5,251)**宗教解释 16.0%、政治解释 28.7%,而两者全放后的残余是 62.6%** —— **与 GSS 的 62.4% 差 0.2 个百分点。** ⇒ **两具仪器在「宗教重要还是政治重要」上完全相反(GSS 宗教是政治的 3.5 倍,MFQ 政治是宗教的 1.8 倍),却在「解释不掉的还剩多少」"
README_zh.md,87.8%,"1267→+0.1970),**方向与其余三题相反 —— 不许现在解释它。**`[#771「第一个不是推导的量:交互;而它的方向被第二具仪器推翻了」]`。 ⚠⚠ **而下一轮把那个分歧彻底解释掉了,答案不在人那里,在量表上。** 先看删失:**最虔诚三分位里,87.8% 说婚外性「总是错」**(`teensex` 82.2% · `homosex` 80.5%),而预注册的删失阈值是 60% —— **那道四档题在他们身上已经到顶,该层的任何关系"
README_zh.md,82.2%," 不许现在解释它。**`[#771「第一个不是推导的量:交互;而它的方向被第二具仪器推翻了」]`。 ⚠⚠ **而下一轮把那个分歧彻底解释掉了,答案不在人那里,在量表上。** 先看删失:**最虔诚三分位里,87.8% 说婚外性「总是错」**(`teensex` 82.2% · `homosex` 80.5%),而预注册的删失阈值是 60% —— **那道四档题在他们身上已经到顶,该层的任何关系强度读数都不可读。** ⇒ **一句关于人的话:在最虔诚"
README_zh.md,8%,"偏离总量 85%**;**`G4` 全部十年 × 两层共 10 格全报(含不同意的格)⇒ BH 存活 5 · BY 存活 4**;⚠ **跑前写下的天花板混淆在这里真被排除:虔诚层 1990s 从 1.26 走到 1.47,离上端还有 2.74 余量、只用掉 8% —— 它有的是位移空间却没有偏离**;⇒ **一句关于人的话,而这一次它站得住:九十年代那条缝张开,不是因为信教的人变得更不容忍,是因为不信教的人走得比他们自己前二十年更快;缝是"
README_zh.md,+28.9%,"nits()` 拷贝(`R237`/`R246`/`R267`)实测**语义相同** ⇒ 缺陷统一,修在一处 `lib/page_units.py` | **总体:`README_zh.md` 单位 417→385、字符 423,940→328,952(虚高 +28.9%);`README.md` 单位 388→356、字符 1,030,060→805,977(+27.8%)** —— ⚠ **单位数只变 32 而字符变近三成,因为重复的是文本不是"
README_zh.md,+27.8%,"一处 `lib/page_units.py` | **总体:`README_zh.md` 单位 417→385、字符 423,940→328,952(虚高 +28.9%);`README.md` 单位 388→356、字符 1,030,060→805,977(+27.8%)** —— ⚠ **单位数只变 32 而字符变近三成,因为重复的是文本不是单位**(表行正文同时坐在 `row` 与某个 `para` 里);**三轮关键计数(谓词用 `ast`"
README_zh.md,28%,"ed==0`、`#807`/`#828` 的「两条更正都落地」**一个都没重算**)⇒ **登记为未测,既不是「受影响」也不是「没事」** —— **这正是 `#834` 那一类:判词串说了它自己的输出没说的话**;⇒ **一句关于方法的话:一个总体定义错了 28%,而这 28% 是同一段文本被数了两次;重复的是文本不是单位,所以「有几个单位命中」这种计数受影响,而「有没有一个单位裸着」这种判词可能完全不受影响。计数变了不等于结论变了,但也绝"
README_zh.md,28%,"`#807`/`#828` 的「两条更正都落地」**一个都没重算**)⇒ **登记为未测,既不是「受影响」也不是「没事」** —— **这正是 `#834` 那一类:判词串说了它自己的输出没说的话**;⇒ **一句关于方法的话:一个总体定义错了 28%,而这 28% 是同一段文本被数了两次;重复的是文本不是单位,所以「有几个单位命中」这种计数受影响,而「有没有一个单位裸着」这种判词可能完全不受影响。计数变了不等于结论变了,但也绝不等于结论没变"
README_zh.md,28%,"这 28% 是同一段文本被数了两次;重复的是文本不是单位,所以「有几个单位命中」这种计数受影响,而「有没有一个单位裸着」这种判词可能完全不受影响。计数变了不等于结论变了,但也绝不等于结论没变 —— 这两句话我这一轮只有资格说前半句** `[#842「总体虚高 28%」]`(Entry 842) 〔本项目自己的页面〕 ⟨**Production + 一次对 `#833` 的更正,诚实标注:本轮不产生新的关于人的判断**;闸:① 控制(`lib/"
README_zh.md,69.7%,",全部超安慰剂地板 0.0713**,判词 **OVERTURNED**,`Gate.admissible()`=**True**;⚠⚠ **而跑前写下的那条混淆被反向证伪了,这比结果本身更强**:我担心「制裁那条缝更窄」是**二值天花板压出来的**(允许率 69.7%–88.4%)—— **而换到不受边界压缩的潜在尺上,|Δobject| 平均还大了 +0.131** ⇒ **压缩确实存在,但它把效应压小了,不是造出来的**;闸:③ **正控*"
README_zh.md,88.4%,"剂地板 0.0713**,判词 **OVERTURNED**,`Gate.admissible()`=**True**;⚠⚠ **而跑前写下的那条混淆被反向证伪了,这比结果本身更强**:我担心「制裁那条缝更窄」是**二值天花板压出来的**(允许率 69.7%–88.4%)—— **而换到不受边界压缩的潜在尺上,|Δobject| 平均还大了 +0.131** ⇒ **压缩确实存在,但它把效应压小了,不是造出来的**;闸:③ **正控**只往道德题"
README_zh.md,81.1%,"0.108 —— **0/6** ⇒ 判词 **OVERTURNED**,`admissible`=**True**;⚠⚠ **跑前写下的最强混淆是 B 的头号对手,而它这次没派上用场,因为 B 本来就没成立**:允许率 **73.1%→87.0%(教书)· 81.1%→88.6%(发言)· 70.7%→81.3%(图书馆)**,**逼近天花板** ⇒ 我担心「制裁缝变窄」是压出来的,于是潜在尺同跑(`#858` 已证它**放大**而非缩小效应)"
README_zh.md,88.6%,"—— **0/6** ⇒ 判词 **OVERTURNED**,`admissible`=**True**;⚠⚠ **跑前写下的最强混淆是 B 的头号对手,而它这次没派上用场,因为 B 本来就没成立**:允许率 **73.1%→87.0%(教书)· 81.1%→88.6%(发言)· 70.7%→81.3%(图书馆)**,**逼近天花板** ⇒ 我担心「制裁缝变窄」是压出来的,于是潜在尺同跑(`#858` 已证它**放大**而非缩小效应)—— **而"
README_zh.md,70.7%,"⇒ 判词 **OVERTURNED**,`admissible`=**True**;⚠⚠ **跑前写下的最强混淆是 B 的头号对手,而它这次没派上用场,因为 B 本来就没成立**:允许率 **73.1%→87.0%(教书)· 81.1%→88.6%(发言)· 70.7%→81.3%(图书馆)**,**逼近天花板** ⇒ 我担心「制裁缝变窄」是压出来的,于是潜在尺同跑(`#858` 已证它**放大**而非缩小效应)—— **而制裁分量在两把尺上都没"
README_zh.md,81.3%,"*OVERTURNED**,`admissible`=**True**;⚠⚠ **跑前写下的最强混淆是 B 的头号对手,而它这次没派上用场,因为 B 本来就没成立**:允许率 **73.1%→87.0%(教书)· 81.1%→88.6%(发言)· 70.7%→81.3%(图书馆)**,**逼近天花板** ⇒ 我担心「制裁缝变窄」是压出来的,于是潜在尺同跑(`#858` 已证它**放大**而非缩小效应)—— **而制裁分量在两把尺上都没动;混淆写对"
README_zh.md,18.6%,"alstat`:空总体不许通过);⚠ **改不了的**:**闸不能也不打算判定任何一笔欠账的真假**(`#829` 已证从散文反推不可行),**自洽 ≠ 正确,而这条写在闸自己的输出里**;**本轮不报效应**⟩| | **那个匹配器只认得我最近的写法:召回 18.6%,而它的盲区正好是欠账的年代** | **本轮全部难点是一句话:真值集不能用匹配器的模式去建,否则是自证** ⇒ **真值集只用位置**(条目前 400 字符内引用了更早的 `` "
README_zh.md,181.8%,"()` + `Gate.headroom_control()`(`HEADROOM_MAX = 0.30`,进 `_control_rows` ⇒ 直接压 `admissible()`);**回测 4 例、答案事先已知:2/2 该抓的抓住(`#801` 修前 181.8% · `#803` `fit` 定标=非虔诚 89.8%),2/2 该过的过(30.0% · 21.8%)**;⚠ **而它对两格我没判过的格子给出新判定**(`raw` 定标=非"
README_zh.md,89.8%,")`(`HEADROOM_MAX = 0.30`,进 `_control_rows` ⇒ 直接压 `admissible()`);**回测 4 例、答案事先已知:2/2 该抓的抓住(`#801` 修前 181.8% · `#803` `fit` 定标=非虔诚 89.8%),2/2 该过的过(30.0% · 21.8%)**;⚠ **而它对两格我没判过的格子给出新判定**(`raw` 定标=非虔诚 63.5% 抓住 · `fit` 定标=虔诚 28"
README_zh.md,30.0%," = 0.30`,进 `_control_rows` ⇒ 直接压 `admissible()`);**回测 4 例、答案事先已知:2/2 该抓的抓住(`#801` 修前 181.8% · `#803` `fit` 定标=非虔诚 89.8%),2/2 该过的过(30.0% · 21.8%)**;⚠ **而它对两格我没判过的格子给出新判定**(`raw` 定标=非虔诚 63.5% 抓住 · `fit` 定标=虔诚 28.0% 过)⇒ **同时满足「r"
README_zh.md,21.8%,",进 `_control_rows` ⇒ 直接压 `admissible()`);**回测 4 例、答案事先已知:2/2 该抓的抓住(`#801` 修前 181.8% · `#803` `fit` 定标=非虔诚 89.8%),2/2 该过的过(30.0% · 21.8%)**;⚠ **而它对两格我没判过的格子给出新判定**(`raw` 定标=非虔诚 63.5% 抓住 · `fit` 定标=虔诚 28.0% 过)⇒ **同时满足「raw 口径自洽」"
README_zh.md,42%,".45 不是 0**)· 生成器中位偏差 ≤0.013 · **0.0043 离门槛 0.10 有 23 倍余量**⟩ ⚠ **而 `#806` 之后要带着一句:这套「共同位移」对照对顶对**够不着**,两条定标臂都超过 30% 可达幅度(`sexeduc` 42%/31% · `racmar` 72%/71%)⇒ 零个可用格,**结构性不可能,不是欠账**。**| | **撤回落地了,而更正分两种:断言它 vs 证明它稳定** | 结构定总"
README_zh.md,31%,"不是 0**)· 生成器中位偏差 ≤0.013 · **0.0043 离门槛 0.10 有 23 倍余量**⟩ ⚠ **而 `#806` 之后要带着一句:这套「共同位移」对照对顶对**够不着**,两条定标臂都超过 30% 可达幅度(`sexeduc` 42%/31% · `racmar` 72%/71%)⇒ 零个可用格,**结构性不可能,不是欠账**。**| | **撤回落地了,而更正分两种:断言它 vs 证明它稳定** | 结构定总体(带 "
README_zh.md,72%,"差 ≤0.013 · **0.0043 离门槛 0.10 有 23 倍余量**⟩ ⚠ **而 `#806` 之后要带着一句:这套「共同位移」对照对顶对**够不着**,两条定标臂都超过 30% 可达幅度(`sexeduc` 42%/31% · `racmar` 72%/71%)⇒ 零个可用格,**结构性不可能,不是欠账**。**| | **撤回落地了,而更正分两种:断言它 vs 证明它稳定** | 结构定总体(带 `(Entry N)` 的表行"
README_zh.md,71%,".013 · **0.0043 离门槛 0.10 有 23 倍余量**⟩ ⚠ **而 `#806` 之后要带着一句:这套「共同位移」对照对顶对**够不着**,两条定标臂都超过 30% 可达幅度(`sexeduc` 42%/31% · `racmar` 72%/71%)⇒ 零个可用格,**结构性不可能,不是欠账**。**| | **撤回落地了,而更正分两种:断言它 vs 证明它稳定** | 结构定总体(带 `(Entry N)` 的表行 **9"
README_zh.md,30%," 这条检验偏向「没动」**,如实标注(Entry 794) 〔GSS〕 ⟨漂移 −0.302 SD 超过预注册的 0.25 门槛;**8/8 在宽度内**⟩ ⚠ **而 `#806` 之后要带着一句:这套「共同位移」对照对顶对**够不着**,两条定标臂都超过 30% 可达幅度(`sexeduc` 42%/31% · `racmar` 72%/71%)⇒ 零个可用格,**结构性不可能,不是欠账**。**| | **结构定总体之后,受影响的只有一"
