entry,token,file,line,marked,excerpt
346,+0.1185,README_zh.md,534,True,"| **两个正交的人层维度,各自指向不同的东西** | 把**内容**分(你勾了哪些具体选项)对**位置**分(它们有多冷门)回归掉,两者一起跑遍 20 道 Likert 结局、各用最大统计量零给全族"
367,README_zh.md,README.md,424,False,carries the history; this page carries only what currently stands. **中文版:[`README_zh.md`](README_zh.
367,README_zh.md,README_zh.md,164,True,"| **修好切法再重数:总体虚高 28%,而 `#833` 自己也记错了缺陷的形状** | **还 `#833`① 的债,而新写的控制在还债之前先逼出了对 `#833` 自己的更正**:`#833` "
369,README_zh.md,README.md,424,False,carries the history; this page carries only what currently stands. **中文版:[`README_zh.md`](README_zh.
369,README_zh.md,README_zh.md,164,True,"| **修好切法再重数:总体虚高 28%,而 `#833` 自己也记错了缺陷的形状** | **还 `#833`① 的债,而新写的控制在还债之前先逼出了对 `#833` 自己的更正**:`#833` "
370,README_zh.md,README.md,424,False,carries the history; this page carries only what currently stands. **中文版:[`README_zh.md`](README_zh.
370,README_zh.md,README_zh.md,164,True,"| **修好切法再重数:总体虚高 28%,而 `#833` 自己也记错了缺陷的形状** | **还 `#833`① 的债,而新写的控制在还债之前先逼出了对 `#833` 自己的更正**:`#833` "
371,README_zh.md,README.md,424,False,carries the history; this page carries only what currently stands. **中文版:[`README_zh.md`](README_zh.
371,README_zh.md,README_zh.md,164,True,"| **修好切法再重数:总体虚高 28%,而 `#833` 自己也记错了缺陷的形状** | **还 `#833`① 的债,而新写的控制在还债之前先逼出了对 `#833` 自己的更正**:`#833` "
563,round_status,README.md,1081,False,| `tools/round_status.py` | round → ledger (current status of the claims this round supports; has a 
563,round_status,README_zh.md,1058,False,| `tools/round_status.py` | 轮次 → 账本(这一轮支撑的声明当前状态;它是不是已被兄弟轮次取代) |
564,+0.093,README.md,584,True,| **Its only external anchor that holds is sex** | +0.093 (disattenuated +0.141). All Big Five \|r\|
564,+0.093,README.md,840,False,"- **A thirty-ninth, and it rescues the previous one from being a possible tautology: how many people"
564,+0.093,README_zh.md,544,True,"| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023 [R15 3× curveball · sc"
564,+0.093,README_zh.md,777,False,"- **第三十九件,而它把上一件从「可能是同义反复」里救了出来:一个社会里「有多少人真的这么做」和「这件事被怎么说」,是两件事。** 上一件确立了「越少见越被谴责」换一个编码项目仍在(+0.797 →"
564,+0.023,README.md,279,False,| **The divide did not grow — it split open in the nineties and the two-thousands** | **decade-by-de
564,+0.023,README.md,485,True,| **Breadth type c3 — *where you spend your openness*** | **+0.5631** | blocks | **name verified** o
564,+0.023,README.md,584,True,| **Its only external anchor that holds is sex** | +0.093 (disattenuated +0.141). All Big Five \|r\|
564,+0.023,README.md,589,True,"| ~~**""Top/bottom"" is one word over three near-unrelated things**~~ **downgraded to: the three role "
564,+0.023,README.md,946,True,"**[DOWNGRADED — RETRACTIONS #24, re-affirmed #143]** ""three near-independent axes / effective dimens"
564,+0.023,README_zh.md,262,False,"| **这条鸿沟不是长出来的,是在九十年代和两千年代裂开的** | **逐十年的 `Δgap`,参照不是 0,是「该十年按实际跨度缩放的匀速率」**(总量 −1.103 摊到十年 = −0.2206,"
564,+0.023,README_zh.md,463,True,| **宽度类型 c3 —— *你把开放花在哪儿*** | **+0.5631** | 块 | **名字已跨仪器验证**(`#258`:与起始仪器越轨半 +0.1815、与普通半 **−0.1086*
564,+0.023,README_zh.md,544,True,"| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023 [R15 3× curveball · sc"
564,+0.023,README_zh.md,549,True,"| ~~**""上/下""一个词盖着三件近乎不相关的事**~~ **降级为:三条角色轴之间相关很强但不是同一个** | **`Entry 24` 早已撤回""三条近乎独立""与""有效维度 2.95/3""**。"
564,+0.023,README_zh.md,885,True,"用一把验证过的信度梯子(正对照:SUBSTANCE 对自己 r_true = **+1.018**;假对照 +0.023 [R15 3× curveball · scope stated]),"
565,+0.1185,README.md,480,True,| **Position S** — how uncommon the options you pick are | **+0.432** | blocks (32 multi-select) | u
565,+0.1185,README.md,507,True,"> this project ends up pointing at it — position +0.1185 [cov≥8 · scope stated], breadth-type c3 +0."
565,+0.1185,README.md,511,True,"> doesn't.** ⚠ **`#316`: that is a statement about the *increment*, and the wider reading is wrong.*"
565,+0.1185,README.md,541,True,⚠ **`#463`: and the two leading components of the residual structure fall on the two different paths
565,+0.1185,README.md,573,True,| **And preferring the uncommon is not affectively neutral — it comes with shame** | On two independ
565,+0.1185,README.md,574,True,"| **Two orthogonal person-level dimensions, each pointing at something different** | Residualise the"
565,+0.1185,README_zh.md,458,True,| **位置分 S** —— 你挑的选项有多冷门 | **+0.432** | 块(32 道多选) | 未验 | **+0.1185 [cov≥8 · scope stated]** | 9/20 |
565,+0.1185,README_zh.md,465,True,| **`form_i` —— 「被画的东西打开」与「被写的东西打开」之间那份共有** | **+0.3382**(两道题) | 块(`animated`/`written` 扣掉全部六个坐标之后的残
565,+0.1185,README_zh.md,504,True,> ⚠ **`form_i` 是唯一一个**不**通向羞耻的仍站着的维度**(`#278`)。这个项目里其它每一样东西最后都指向它 —— 位置分 +0.1185 [cov≥8 · scope stat
565,+0.1185,README_zh.md,533,True,"| **而且「偏爱冷门」不是不带立场的 —— 它带着羞耻** | 两道与块**零 item 重叠**的独立 Likert 题(n=15,503):位置分预测**羞耻 +0.1185**,并且穿过每一层"
565,+0.1185,README_zh.md,534,True,"| **两个正交的人层维度,各自指向不同的东西** | 把**内容**分(你勾了哪些具体选项)对**位置**分(它们有多冷门)回归掉,两者一起跑遍 20 道 Likert 结局、各用最大统计量零给全族"
565,+0.023,README.md,279,False,| **The divide did not grow — it split open in the nineties and the two-thousands** | **decade-by-de
565,+0.023,README.md,485,True,| **Breadth type c3 — *where you spend your openness*** | **+0.5631** | blocks | **name verified** o
565,+0.023,README.md,584,True,| **Its only external anchor that holds is sex** | +0.093 (disattenuated +0.141). All Big Five \|r\|
565,+0.023,README.md,589,True,"| ~~**""Top/bottom"" is one word over three near-unrelated things**~~ **downgraded to: the three role "
565,+0.023,README.md,946,True,"**[DOWNGRADED — RETRACTIONS #24, re-affirmed #143]** ""three near-independent axes / effective dimens"
565,+0.023,README_zh.md,262,False,"| **这条鸿沟不是长出来的,是在九十年代和两千年代裂开的** | **逐十年的 `Δgap`,参照不是 0,是「该十年按实际跨度缩放的匀速率」**(总量 −1.103 摊到十年 = −0.2206,"
565,+0.023,README_zh.md,463,True,| **宽度类型 c3 —— *你把开放花在哪儿*** | **+0.5631** | 块 | **名字已跨仪器验证**(`#258`:与起始仪器越轨半 +0.1815、与普通半 **−0.1086*
565,+0.023,README_zh.md,544,True,"| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023 [R15 3× curveball · sc"
565,+0.023,README_zh.md,549,True,"| ~~**""上/下""一个词盖着三件近乎不相关的事**~~ **降级为:三条角色轴之间相关很强但不是同一个** | **`Entry 24` 早已撤回""三条近乎独立""与""有效维度 2.95/3""**。"
565,+0.023,README_zh.md,885,True,"用一把验证过的信度梯子(正对照:SUBSTANCE 对自己 r_true = **+1.018**;假对照 +0.023 [R15 3× curveball · scope stated]),"
842,28.9%,README.md,181,False,"| **Fix the cut and count again: the population was inflated 28%, and `#833` had the defect's shape "
842,28.9%,README.md,485,True,| **Breadth type c3 — *where you spend your openness*** | **+0.5631** | blocks | **name verified** o
842,28.9%,README_zh.md,164,True,"| **修好切法再重数:总体虚高 28%,而 `#833` 自己也记错了缺陷的形状** | **还 `#833`① 的债,而新写的控制在还债之前先逼出了对 `#833` 自己的更正**:`#833` "
842,28.9%,README_zh.md,463,True,| **宽度类型 c3 —— *你把开放花在哪儿*** | **+0.5631** | 块 | **名字已跨仪器验证**(`#258`:与起始仪器越轨半 +0.1815、与普通半 **−0.1086*
842,27.8%,README.md,181,False,"| **Fix the cut and count again: the population was inflated 28%, and `#833` had the defect's shape "
842,27.8%,README_zh.md,164,True,"| **修好切法再重数:总体虚高 28%,而 `#833` 自己也记错了缺陷的形状** | **还 `#833`① 的债,而新写的控制在还债之前先逼出了对 `#833` 自己的更正**:`#833` "
