round,artifact,rows,arm_col,seed_col,spread_cols,verdict,why
R049_the_last_survivor,influence.csv,28,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R057_the_unit_is_the_category,unit_test.csv,3,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R058_synthetic_rival_world,rival_world.csv,300,-,-,"noise_0.3,noise_0.5,noise_0.7",UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R059_schedule_specification_curve,schedule_curve.csv,72,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R060_rival_world_full_categories,full_categories.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R062_onset_rsa_framing_swap,framing_swap.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R063_schedule_as_a_ranking_task,ranking.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R064_schedule_or_rarity,schedule_or_rarity.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R065_rarity_or_censoring,censoring.csv,25,-,seed,random_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R066_is_the_order_individual,individual.csv,5,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R067_group_level_orderings,group_orderings.csv,16,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R068_the_tie_bias,tie_bias.csv,20,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R069_individual_order_with_a_stronger_instrument,grid.csv,75,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R070_the_cap_audit_rerun,grid.csv,48,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R071_reprice_the_capped_headlines,grid.csv,80,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R083_does_matching_correct_or_just_subsample,matching.csv,60,-,split,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R093_reliability_ceiling,ladder.csv,144,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R094_the_control_was_the_thing,item_audit.csv,22,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R095_concentration_k_sweep,concentration_k.csv,60,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R096_nestedness_synthetic_controls,nestedness_controls.csv,15,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R098_is_breadth_content,grid.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R100_gated_vs_ungated_outcome,grid.csv,24,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R101_forced_choice_vs_induction,grid.csv,9,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R102_sweep_K_on_every_deficit,k_sweep.csv,108,-,seed,ceil_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R103_is_the_coverage_law_one_point,influence.csv,8,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R104_block_inclusion_sweep,block_sweep.csv,80,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R105_modality_properly_gated,modality_gated.csv,135,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R106_triple_matched_resolvability,triple_matched.csv,48,-,split,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R107_seed_spread_every_headline,resolvability.csv,5,-,-,spread,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R108_reconcile_max_vs_mean,reconcile.csv,24,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R109_published_estimand_seed_spread,published_estimand.csv,6,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R110_graded_positive_control,graded_control.csv,1224,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R111_predictable_variance_sort,sort.csv,10,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R112_item_person_interaction,grid.csv,384,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R113_per_block_additive_floor,grid.csv,576,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R114_fixed_margin_null,grid.csv,960,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R115_rank_selected_by_prediction,grid.csv,1104,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R117_the_four_way_decomposition,grid.csv,276,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R118_compute_matched_general_vs_specific,grid.csv,920,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R119_how_many_cross_block_dimensions,grid.csv,1116,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R120_is_the_transfer_the_gate,grid.csv,552,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R121_gate_or_demographics,grid.csv,552,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R122_charge_the_shared_basis,grid.csv,207,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R123_the_metric_was_never_swept,grid.csv,300,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R124_rank_sweep_under_l1,grid.csv,552,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R125_symmetric_correction,grid.csv,1656,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R126_does_the_specific_spectrum_have_a_cliff,grid.csv,1248,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R127_matched_dimensional_budget,grid.csv,2352,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R128_every_component_against_its_own_null,grid.csv,1150,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R129_soft_threshold_the_interaction,grid.csv,414,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R130_regularised_throughout,grid.csv,552,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R131_effective_rank_under_soft_threshold,grid.csv,2208,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R132_magnitude_in_percentage_points,grid.csv,782,-,seed,"planted_sd,person_noise_pp",UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R133_is_the_magnitude_shape_robust,grid.csv,1104,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R134_direct_interaction_variance,grid.csv,207,-,draw,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R135_per_person_misfit,grid.csv,84,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R136_row_preserving_null_more_seeds,grid.csv,144,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R137_surprisal_conditioned_on_count,grid.csv,288,-,seed,-,SEED_IS_FAKE,真实臂在 6 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R138_surprisal_fixed_reference,grid.csv,240,-,seed,-,SEED_IS_FAKE,真实臂在 6 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R139_control_at_the_derived_magnitude,grid.csv,240,-,seed,-,SEED_IS_FAKE,真实臂在 6 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R140_spiky_or_flat,grid.csv,24,-,seed,"sd_hi,sd_all,sd_car",UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R141_sd_as_a_function_of_mean,grid.csv,45,-,seed,-,SEED_IS_FAKE,真实臂在 5 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R142_plants_rebased_on_the_null,grid.csv,50,-,seed,-,SEED_IS_FAKE,真实臂在 5 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R143_one_family_from_spiky_to_flat,grid.csv,50,-,seed,-,SEED_IS_FAKE,真实臂在 5 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R144_mixture_or_gradient,grid.csv,65,-,seed,-,SEED_IS_FAKE,真实臂在 5 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R145_how_broad_is_the_minority,grid.csv,80,-,seed,-,SEED_IS_FAKE,真实臂在 4 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R146_is_it_elevation_or_just_width,grid.csv,16,-,seed,-,SEED_IS_FAKE,真实臂在 4 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R147_is_it_a_trait,grid.csv,9,-,seed,r_half_sd,SEED_IS_FAKE,真实臂在 3 个 seed 上**逐行相同** —— 种子不驱动真实臂(#167a 的形状)
R148_external_correlates,grid.csv,27,-,sd,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R149_matched_difference_correlates,grid.csv,27,-,sd,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R152_diffuse_or_concentrated,v_cv.csv,7,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R152_diffuse_or_concentrated,v_max.csv,7,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R152_diffuse_or_concentrated,v_rare.csv,7,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R154_rare_affinity_on_forced_choice,grid.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R155_rare_affinity_leave_block_out,grid.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R156_disjointness_audit,grid.csv,45,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R157_does_order_matter,grid.csv,120,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R158_type_or_restructuring,grid.csv,140,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R159_is_there_a_dose,grid.csv,295,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R160_between_pair_dose,grid.csv,150,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R161_why_does_the_effect_shrink,grid.csv,16,-,reps,real_se,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R162_dose_on_the_correct_null,grid.csv,130,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R163_dose_with_balance_controlled,grid.csv,130,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R164_early_arrival_reshapes,grid.csv,96,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R165_earliness_or_remembered_centrality,grid.csv,182,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R166_does_memory_pull_beloved_earlier,grid.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R167_recall_corrected_onsets,grid.csv,144,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R168_order_effect_vs_mean_rating,grid.csv,270,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R169_fix_the_null_and_name_the_direction,dirs.csv,45,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R169_fix_the_null_and_name_the_direction,grid.csv,144,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R170_direction_at_double_n,grid.csv,705,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R171_memory_or_present_narrative,grid.csv,20,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R173_does_the_map_radiate_outward,grid.csv,24,-,sd,rho_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R174_is_the_trait_link_just_coverage,matched.csv,3,-,sd,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R175_the_first_thing_you_ever_wanted,grid.csv,11,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R176_is_the_schedule_a_mean_artifact,grid.csv,64,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R177_is_the_first_bin_effect_censoring,by_age.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R177_is_the_first_bin_effect_censoring,growth.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R178_expansion_or_deepening,grid.csv,11,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R179_is_it_reverse_recall,by_age.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R180_is_there_a_boundary_at_all,curve.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R181_does_it_arrive_as_a_package,dispersion.csv,2,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R182_do_they_have_different_external_anchors,anchors.csv,11,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R183_which_line_is_the_real_one,gender_control.csv,10,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R183_which_line_is_the_real_one,grid.csv,6,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R184_are_the_two_sides_isomorphic,structure.csv,12,-,split,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R185_what_are_the_extra_dimensions,canon.csv,4,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R186_reprice_the_three_axes,bootstrap.csv,3,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R187_hardcoded_verdict_constants,edges.csv,2,-,-,spread_of_ratio,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R191_split_delta_by_the_content_line,by_side.csv,12,-,split,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R192_is_the_breadth_link_an_arithmetic_bound,by_breadth.csv,5,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R193_was_the_mechanism_already_in_the_ledger,arms.csv,3,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R194_are_the_two_lines_one_quantity,arms.csv,4,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R195_does_the_seam_hold,seam.csv,2,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R196_amplify_with_forced_choice,amplify.csv,4,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R197_does_the_80_percent_depend_on_the_summary,summaries.csv,5,-,sd,z_rand_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R198_redraw_114_and_101,redraw114.csv,20,-,draw,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R199_redraw_the_curveball_null,redraw.csv,10,-,draw,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R204_person_or_item,edges.csv,2,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R205_what_versus_when_same_design,matched_k.csv,8,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R206_three_quantities_one_machine,three.csv,12,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R207_is_the_recall_bias_personal,recall_rel.csv,3,-,-,sb_null_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R208_position_or_content,pos_vs_content.csv,6,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R209_is_the_position_tendency_just_sex,sex_control.csv,6,-,-,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R210_how_big_is_the_content_side,content_position_corr.csv,12,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R210_how_big_is_the_content_side,content_vs_position.csv,24,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R210_how_big_is_the_content_side,leak_calibration.csv,42,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R211_does_leakage_need_a_noisy_covariate,leak_mechanism.csv,84,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R211_does_leakage_need_a_noisy_covariate,paired_vs_baseline.csv,4,-,-,paired_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R212_two_denominators_for_three_headline_claims,c100_grid.csv,8,-,seed,r_half_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R212_two_denominators_for_three_headline_claims,c100_r147_full_grid_8seeds.csv,24,-,seed,r_half_sd,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R212_two_denominators_for_three_headline_claims,c159_edges.csv,8,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R212_two_denominators_for_three_headline_claims,c163_retention.csv,8,-,seed,-,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R212_two_denominators_for_three_headline_claims,two_denominators.csv,5,-,sd_realization,"n_seeds,sd_realization,se_mean",UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R213_the_tenth_guard_and_a_census,artifact_scan.csv,159,-,seed_col,spread_cols,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
R213_the_tenth_guard_and_a_census,ledger_census.csv,167,-,-,has_ci,UNVERIFIED,"有多行且取值不同 —— 但""有展布""不等于""头条数字有误差棒"""
