token,line,dist,evidence
0.3×,| Distinguish memory becoming blurry from a story becoming settled | Real curvature **0.3×**; pushin,0,"| 120a | **机制分不开 —— 能力边界,不是零** | **真实曲率是 0.3× 自身展布**,根本没通过可分辨性。要把它推到 2×,需要**约 48 倍样本量** |"
0.88%,**[R07 · breadth](A07_breadth)** — Quantity without shape. A person's set is **0.88%** more,0,on breadth being **quantity without shape**: a person's set is only **0.88% more concentrated** in
26.6×,"| **性偏好的「什么」是个人的,「何时」不是** | 同一批人、同一种劈分、同一个单位数 k:**「你喜欢多罕见的东西」分半信度 0.57–0.67**,**「你的罕见兴趣比时间表早多少」只有 0.",0,"| 160a | **4.4 倍是真的,而且被低估了** | 匹配 k 后是 **5.8–10.4 倍**;平均差 **+0.5321,26.6× 自身展布**,四个 k 上符号一致 |"
+0.0409,controls: **cross-block factors +0.0409** (fitted on 31 *other* blocks) and **within-block structure,0,"Gate passes both ways: n=31 reproduces `#59`'s +0.0409, and the permuted-label null is **exactly"
87%,"**[RETRACTIONS #59]** Two largely independent contributions, 87% additive, both against two exactly-",0,"| 131e | **我自己那条""随机顺序在 50%""的门,阈值是选的不是量的** | 第一次跑写的是 `abs(random-50) < 1.5`,而随机臂的种子 sd 是 **4.30**。52.87% 被判 FAIL,而它距 50 只"
+0.24,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**.",0,"| 12 | **""Self-reported porn-induced fetish acquisition has no structural signature""** (`r37`–`r38`, misfit rho +0.038, "
10.4×,"| **性偏好的「什么」是个人的,「何时」不是** | 同一批人、同一种劈分、同一个单位数 k:**「你喜欢多罕见的东西」分半信度 0.57–0.67**,**「你的罕见兴趣比时间表早多少」只有 0.",0,"| 160a | **4.4 倍是真的,而且被低估了** | 匹配 k 后是 **5.8–10.4 倍**;平均差 **+0.5321,26.6× 自身展布**,四个 k 上符号一致 |"
+0.5321,"| **性偏好的「什么」是个人的,「何时」不是** | 同一批人、同一种劈分、同一个单位数 k:**「你喜欢多罕见的东西」分半信度 0.57–0.67**,**「你的罕见兴趣比时间表早多少」只有 0.",0,"| 160a | **4.4 倍是真的,而且被低估了** | 匹配 k 后是 **5.8–10.4 倍**;平均差 **+0.5321,26.6× 自身展布**,四个 k 上符号一致 |"
+0.0006,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on",0,"| 84c | **what the matched run does show, stated at the size it supports** | The real budget-matched curve rises monoton"
71%,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on",0,"| **population ordering** (fitted on training people, applied to held-out) | **66.71%** | 0.72 |"
25%,"anonymised, with correlations attenuated roughly 25% by design · every measure self-report.",0,"| 156d | **而声明本身完好** | 修好两处并**把守卫装上**后,那个从没跑到过的段落给出位移 **+0.0266 ± 0.0127**、零 **+0.0067**(25%)、**29/45**、**2.1×** —— 与 `E"
67%,"578,989 held-out cells. **[#58]** Fitted jointly, the two are **67% the same structure**: combined i",0,"- The **positive** control, a population built to be concentrated, gives **−1.67% at K=6 —"
-0.0459,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 1",0,"| 129g | **`#114` 对特质链接的实际贡献 39%** | 上界(单位幅度伪影臂)−0.1668,实际贡献 −0.0168 vs 效应 −0.0434。λ 规格曲线 0 → −0.2947 全程同号(−0.0459 → −0."
+0.05,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 1",0,"| 3 | **Six named ""factor coordinates""** printed by the joint rank-8 factorisation (`r11`) | `r11` itself, on the line b"
23.1×,"| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.004",0,"| 127b | **`#100` 站住,而且修正后更大** | 各半用自己的勾选数残差化后信度 **+0.4611**(原 +0.4376),**23.1× 自身展布**,种植 +0.8374。**共享协变量的影响符号相反(−0.0236"
100%,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 1",0,| **100%** | −0.002 | +0.024 | +0.089 | +0.158 | **+0.239** | ±42.5 pp |
+0.093,"| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023** —— 它不是一般性的求新。**零的强度已",0,"| 8 | **""Schedule adherence is an individual trait""**, with correlates (biomale +0.093, own mean onset +0.100) — `r29` |"
5.5%,"| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那",0,"| 153a | **`#114` 的零重抽 20 次:原轮那一抽是最小的** | 效应 −0.2000 ± 0.0096(20.8×,逐位复现);原轮 seed 9 给 **−0.00035 = 效应的 0.2%**;20 抽范围 **0"
+0.07,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.0328**,题内跨人置",0,"| 9 | **""Unit acquisition of a coordinate""** — my own hypothesis from `r26`, that categories sharing a GCCA coordinate w"
+0.0018,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.0328**,题内跨人置",0,"| 128b | **罕见的兴趣来得更早,不是更晚** | `mean(ρ) = −0.0328`,题内跨人置换零 +0.0018,**8.8× 自身自助展布**。人群层的题目回归几乎为零(斜率 +0.061 年/稀有度单位,r = +0."
8.8×,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.0328**,题内跨人置",0,"| 128b | **罕见的兴趣来得更早,不是更晚** | `mean(ρ) = −0.0328`,题内跨人置换零 +0.0018,**8.8× 自身自助展布**。人群层的题目回归几乎为零(斜率 +0.061 年/稀有度单位,r = +0."
-0.0328,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.0328**,题内跨人置",0,"| 128b | **罕见的兴趣来得更早,不是更晚** | `mean(ρ) = −0.0328`,题内跨人置换零 +0.0018,**8.8× 自身自助展布**。人群层的题目回归几乎为零(斜率 +0.061 年/稀有度单位,r = +0."
39%,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 1",0,"| 129g | **`#114` 对特质链接的实际贡献 39%** | 上界(单位幅度伪影臂)−0.1668,实际贡献 −0.0168 vs 效应 −0.0434。λ 规格曲线 0 → −0.2947 全程同号(−0.0459 → −0."
+0.023,"| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023** —— 它不是一般性的求新。**零的强度已",0,"| 110a | **同类顺序效应,第三次独立估计** | **+0.0285 ± 0.0033(8.6× SE)。** 与 `#107` 的 +0.0236、`#109a` 的 +0.019~+0.027 一致。保守取纯置换臂 +0.00"
19.8×,"| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那",0,"**全部 gate 通过**(阶梯写法修正后):偏离与早熟度不相关(+0.0227);打乱零是效应的 **0%**;种植阶梯单调 [+0.0804, +0.2148];种植 0.8 年被测出,余量 +0.1945;真实斜率 **19.8× "
-0.2000,"| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那",0,"| 153a | **`#114` 的零重抽 20 次:原轮那一抽是最小的** | 效应 −0.2000 ± 0.0096(20.8×,逐位复现);原轮 seed 9 给 **−0.00035 = 效应的 0.2%**;20 抽范围 **0"
3.5×,"| **而且这个记忆畸变随时间加深,十五年里几乎翻倍** | 15 岁组 −0.0505 → 30 岁组 −0.0917,年龄趋势 **3.5×**;残余伪影**符号相反**,校正只会放大。**它不是",0,| **年龄趋势** | **−0.0122 ± 0.0035(3.5×)** | +0.0026(0.8×) | −0.0954(27.4×) | **+0.0070** |
9.0×,"| **版图真正的主分界线不是""先来后到"",是""物件 vs 叙事""** | 6 个连贯分割 × 11 个非性变量的整格,最大统计量零给出全族阈值 0.0560。**PC4 点亮 6 个变量,最强一格 ",1,"| 139c | **合起来是一句关于人的话** | **关系族在时间上是一起到的(`#136a`,17.7×),但在偏好结构上不是一个东西 —— 它同时到达,却装着好几个独立的维度。具体族相反:分散地到达,却在评分上更像单一的一个东西**"
-0.126,"(−0.126 — **[VERIFICATION — see RETRACTIONS #16]**, published as `01-age-onset` Finding 1) and recal",1,"| 15 | **""Any group comparison on this release must be block-count matched or it partly measures survey coverage. Nothin"
1.05×,"| ""The three components are the same size (in predictability), 1.05×"" | **Withdrawn** | Subtracting ",1,"| 85b | **the three components, symmetrically** | **THE SAME SIZE.** `I_c` **+0.208** · interaction `+0.199` · `P_c` **+"
11%,"| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那",1,"| 153a | **`#114` 的零重抽 20 次:原轮那一抽是最小的** | 效应 −0.2000 ± 0.0096(20.8×,逐位复现);原轮 seed 9 给 **−0.00035 = 效应的 0.2%**;20 抽范围 **0"
68.4%,"| **性版图在青春期结束时就基本定型** | 29–32 岁的人,自己报告的性兴趣有 **68.4% 是 17 岁前获得的**,最晚的那一个平均在 **22.6 岁**(人内测量,不依赖横断面假设)",1,"| 135a | **没有拐点** | 增益 0.703 vs 置换零的 95 分位 0.754(**1.6×**)。两个对照都过:种植真拐点被检出(0.805),**种植纯直线不触发**(0.385)—— 所以这不是一个不能失败的检查。*"
+0.58,"substance boundary it meets (+0.24 to +0.58) **except source gender, where it is +0.017**.",1,"| 124e | **修法同时修掉一个常数阈值** | 改成**卡尺 1:1 匹配**(每个 No 配广度最近的 Yes,卡尺 = 0.25 sd),容差从""|Δ| ≤ 0.5""改成""≤ 0.05 × 广度自身 sd""。覆盖率 1/10 →"
-0.0917,"| **而且这个记忆畸变随时间加深,十五年里几乎翻倍** | 15 岁组 −0.0505 → 30 岁组 −0.0917,年龄趋势 **3.5×**;残余伪影**符号相反**,校正只会放大。**它不是",1,| **年龄趋势** | **−0.0122 ± 0.0035(3.5×)** | +0.0026(0.8×) | −0.0954(27.4×) | **+0.0070** |
15.2×,"| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.004",2,"| 135a | **没有拐点** | 增益 0.703 vs 置换零的 95 分位 0.754(**1.6×**)。两个对照都过:种植真拐点被检出(0.805),**种植纯直线不触发**(0.385)—— 所以这不是一个不能失败的检查。*"
-0.0048,"| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.004",2,"| 135a | **没有拐点** | 增益 0.703 vs 置换零的 95 分位 0.754(**1.6×**)。两个对照都过:种植真拐点被检出(0.805),**种植纯直线不触发**(0.385)—— 所以这不是一个不能失败的检查。*"
+0.141,"| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023** —— 它不是一般性的求新。**零的强度已",2,"| 101c | **the fork, `#100`'s open question** | **LEANS EROTIC, and only leans.** Onset age |r| = 0.0838 against a perso"
-0.135,"| ""Domain-general beats domain-specific, 186/276"" | **Inverted: 0 general / 201 specific** | The 186",2,| 82c | **the A-vs-B reading this changes** | **The person-side readout is mostly assembled PER DOMAIN.** `#70` said onl
+0.0210,"| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.004",2,"| 135a | **没有拐点** | 增益 0.703 vs 置换零的 95 分位 0.754(**1.6×**)。两个对照都过:种植真拐点被检出(0.805),**种植纯直线不触发**(0.385)—— 所以这不是一个不能失败的检查。*"
13×,"| **稀有偏好是一条所有人都在上面的连续维度,不是一群特殊的人** | 分布对称加宽:上尾挑更罕见的,下尾挑更常见的,**中位数纹丝不动**,两侧各 11–13× 自身自助 sd | `#99` |",2,"| 99c | **why eleven rounds missed it** | **The statistic was designed to find a tail, so every round looked at a tail.*"
-0.0127,"| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.004",2,"| 135a | **没有拐点** | 增益 0.703 vs 置换零的 95 分位 0.754(**1.6×**)。两个对照都过:种植真拐点被检出(0.805),**种植纯直线不触发**(0.385)—— 所以这不是一个不能失败的检查。*"
27.9×,"| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.004",2,"| 135a | **没有拐点** | 增益 0.703 vs 置换零的 95 分位 0.754(**1.6×**)。两个对照都过:种植真拐点被检出(0.805),**种植纯直线不触发**(0.385)—— 所以这不是一个不能失败的检查。*"
0.7×,"| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)",3,"| 137e | **第一条零在算术上不可能赢,而且它与真实臂信度不匹配** | 随机等大小重分的阈值 **0.1072** > 本数据里存在过的最大外部相关(性别 +0.093)。**判别量的上界被一个本身就在噪声地板上的量卡住。** 而"
+0.0816,"| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)",3,"| 137e | **第一条零在算术上不可能赢,而且它与真实臂信度不匹配** | 随机等大小重分的阈值 **0.1072** > 本数据里存在过的最大外部相关(性别 +0.093)。**判别量的上界被一个本身就在噪声地板上的量卡住。** 而"
+0.0706,"| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)",3,"| 137e | **第一条零在算术上不可能赢,而且它与真实臂信度不匹配** | 随机等大小重分的阈值 **0.1072** > 本数据里存在过的最大外部相关(性别 +0.093)。**判别量的上界被一个本身就在噪声地板上的量卡住。** 而"
+0.0290,"+0.0290**, combined **+0.0606**. The aggregate cross-domain signal is the *larger* — pairwise block→",3,"expected.** Forty-nine entries have shrunk, scoped or withdrawn it — thin direction, K-dependent"
-0.0505,"| **而且这个记忆畸变随时间加深,十五年里几乎翻倍** | 15 岁组 −0.0505 → 30 岁组 −0.0917,年龄趋势 **3.5×**;残余伪影**符号相反**,校正只会放大。**它不是",3,"| 119d | **""伪影是否为零""一直是错的问题 —— 第三十五个** | 我用 `asserted(|伪影| < 2·SE)` 去判,它以 **0.0001** 之差 FAIL(0.0070 vs 阈值 0.0069)。而那个伪影**"
-0.0417,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 1",3,**这个分叉决定 `#130a` 能不能留在 README 上。**
31%,"| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.004",4,> **Which congruence comparisons are reportable?** Only those whose effect exceeds roughly **0.07**
4.5%,"| **性版图在青春期结束时就基本定型** | 29–32 岁的人,自己报告的性兴趣有 **68.4% 是 17 岁前获得的**,最晚的那一个平均在 **22.6 岁**(人内测量,不依赖横断面假设)",4,"一条可检验的时间边界(**产出**),一个候选机制被判 UNVERIFIED 并触发换向(**成本回收**),"
-0.0441,"| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)",4,"| 137e | **第一条零在算术上不可能赢,而且它与真实臂信度不匹配** | 随机等大小重分的阈值 **0.1072** > 本数据里存在过的最大外部相关(性别 +0.093)。**判别量的上界被一个本身就在噪声地板上的量卡住。** 而"
2.8×,"| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)",4,"| 137e | **第一条零在算术上不可能赢,而且它与真实臂信度不匹配** | 随机等大小重分的阈值 **0.1072** > 本数据里存在过的最大外部相关(性别 +0.093)。**判别量的上界被一个本身就在噪声地板上的量卡住。** 而"
4.1×,"| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)",4,"| 137e | **第一条零在算术上不可能赢,而且它与真实臂信度不匹配** | 随机等大小重分的阈值 **0.1072** > 本数据里存在过的最大外部相关(性别 +0.093)。**判别量的上界被一个本身就在噪声地板上的量卡住。** 而"
+0.0593,"| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)",4,"| 137e | **第一条零在算术上不可能赢,而且它与真实臂信度不匹配** | 随机等大小重分的阈值 **0.1072** > 本数据里存在过的最大外部相关(性别 +0.093)。**判别量的上界被一个本身就在噪声地板上的量卡住。** 而"
+0.0606,"+0.0290**, combined **+0.0606**. The aggregate cross-domain signal is the *larger* — pairwise block→",6,"The decomposition, with cross-block factors fitted on **other blocks only**:"
+0.0289,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on",6,"is computed from unmasked cells only, and all four models **nested on the same base and jointly"
17%,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 1",6,"| 129g | **`#114` 对特质链接的实际贡献 39%** | 上界(单位幅度伪影臂)−0.1668,实际贡献 −0.0168 vs 效应 −0.0434。λ 规格曲线 0 → −0.2947 全程同号(−0.0459 → −0."
+0.5878,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 1",6,"| 129g | **`#114` 对特质链接的实际贡献 39%** | 上界(单位幅度伪影臂)−0.1668,实际贡献 −0.0168 vs 效应 −0.0434。λ 规格曲线 0 → −0.2947 全程同号(−0.0459 → −0."
+0.0206,"item-neighbour structure recovers **+0.0206** held-out R² over a marginals base, against the person",7,"is computed from unmasked cells only, and all four models **nested on the same base and jointly"
51.9%,"for log and 51.9% for linear, with a permuted-label null of exactly 0.0000 at every n. **[MECHANISM ",7,"its own noise (pairwise ≈ 0), and the latent emerges only as blocks accumulate. **The project spent"
