token,readme_line,ledger_qualifier
87%,"**[RETRACTIONS #59]** Two largely independent contributions, 87% additive, both against tw","| 131e | **我自己那条""随机顺序在 50%""的门,阈值是选的不是量的** | 第一次跑写的是 `abs(random-50) < 1.5`,而随机臂的种子 sd 是 **4.30**。52.87% 被判 FAIL,而它距 50 只有 0.65× 自身展布 —— **一个被选定的地板把一个正常的对照判死了**。改为按它自己的展布判(frontier "
+0.0409,controls: **cross-block factors +0.0409** (fitted on 31 *other* blocks) and **within-block,"Gate passes both ways: n=31 reproduces `#59`'s +0.0409, and the permuted-label null is **exactly"
71%,factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person ma,"| **population ordering** (fitted on training people, applied to held-out) | **66.71%** | 0.72 |"
+0.0006,factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person ma,"| 84c | **what the matched run does show, stated at the size it supports** | The real budget-matched curve rises monotonically (+0.0006 → +0.0097 over ranks 1→16) with **no sign ch"
67%,"578,989 held-out cells. **[#58]** Fitted jointly, the two are **67% the same structure**: ","- The **positive** control, a population built to be concentrated, gives **−1.67% at K=6 —"
25%,"anonymised, with correlations attenuated roughly 25% by design · every measure self-report","| 156d | **而声明本身完好** | 修好两处并**把守卫装上**后,那个从没跑到过的段落给出位移 **+0.0266 ± 0.0127**、零 **+0.0067**(25%)、**29/45**、**2.1×** —— 与 `Entry 117` **逐字相同**。**代码卫生的缺陷,不是声明的缺陷** |"
26.6×,"| **性偏好的「什么」是个人的,「何时」不是** | 同一批人、同一种劈分、同一个单位数 k:**「你喜欢多罕见的东西」分半信度 0.57–0.67**,**「你的罕见兴趣比时间","| 160a | **4.4 倍是真的,而且被低估了** | 匹配 k 后是 **5.8–10.4 倍**;平均差 **+0.5321,26.6× 自身展布**,四个 k 上符号一致 |"
+0.5321,"| **性偏好的「什么」是个人的,「何时」不是** | 同一批人、同一种劈分、同一个单位数 k:**「你喜欢多罕见的东西」分半信度 0.57–0.67**,**「你的罕见兴趣比时间","| 160a | **4.4 倍是真的,而且被低估了** | 匹配 k 后是 **5.8–10.4 倍**;平均差 **+0.5321,26.6× 自身展布**,四个 k 上符号一致 |"
10.4×,"| **性偏好的「什么」是个人的,「何时」不是** | 同一批人、同一种劈分、同一个单位数 k:**「你喜欢多罕见的东西」分半信度 0.57–0.67**,**「你的罕见兴趣比时间","| 160a | **4.4 倍是真的,而且被低估了** | 匹配 k 后是 **5.8–10.4 倍**;平均差 **+0.5321,26.6× 自身展布**,四个 k 上符号一致 |"
8.8×,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.03","| 128b | **罕见的兴趣来得更早,不是更晚** | `mean(ρ) = −0.0328`,题内跨人置换零 +0.0018,**8.8× 自身自助展布**。人群层的题目回归几乎为零(斜率 +0.061 年/稀有度单位,r = +0.064,n=31)—— **这是纯人层效应:一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** |"
+0.07,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.03","在正确的点上:真实 +0.262 − 底噪 +0.076 = **+0.187,1.6× 展布 → UNVERIFIED**。"
-0.0328,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.03","| 128b | **罕见的兴趣来得更早,不是更晚** | `mean(ρ) = −0.0328`,题内跨人置换零 +0.0018,**8.8× 自身自助展布**。人群层的题目回归几乎为零(斜率 +0.061 年/稀有度单位,r = +0.064,n=31)—— **这是纯人层效应:一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** |"
+0.0018,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.03","| 128b | **罕见的兴趣来得更早,不是更晚** | `mean(ρ) = −0.0328`,题内跨人置换零 +0.0018,**8.8× 自身自助展布**。人群层的题目回归几乎为零(斜率 +0.061 年/稀有度单位,r = +0.064,n=31)—— **这是纯人层效应:一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** |"
23.1×,"| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · ","| 127b | **`#100` 站住,而且修正后更大** | 各半用自己的勾选数残差化后信度 **+0.4611**(原 +0.4376),**23.1× 自身展布**,种植 +0.8374。**共享协变量的影响符号相反(−0.0236),校正只会放大** |"
+0.05,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100",| **p95** | 0.9792 | 0.9289 | **+0.0503** | 0.0017 | **30×** |
100%,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100",| **100%** | −0.002 | +0.024 | +0.089 | +0.158 | **+0.239** | ±42.5 pp |
-0.0459,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100","| 129g | **`#114` 对特质链接的实际贡献 39%** | 上界(单位幅度伪影臂)−0.1668,实际贡献 −0.0168 vs 效应 −0.0434。λ 规格曲线 0 → −0.2947 全程同号(−0.0459 → −0.0370) |"
39%,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100","| 129g | **`#114` 对特质链接的实际贡献 39%** | 上界(单位幅度伪影臂)−0.1668,实际贡献 −0.0168 vs 效应 −0.0434。λ 规格曲线 0 → −0.2947 全程同号(−0.0459 → −0.0370) |"
+0.093,"| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023** —— 它不是一般性的","| its only external correlate surviving a matched null | **sex, +0.093** |"
+0.023,"| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023** —— 它不是一般性的","`82.7%`(行 57 与 127)· `+0.023`(行 50 与 111,假阳性)。"
5.5%,"| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只","| 153a | **`#114` 的零重抽 20 次:原轮那一抽是最小的** | 效应 −0.2000 ± 0.0096(20.8×,逐位复现);原轮 seed 9 给 **−0.00035 = 效应的 0.2%**;20 抽范围 **0.2% .. 11.4%**,实现 sd = 效应的 **5.5%** |"
-0.2000,"| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只","| 153a | **`#114` 的零重抽 20 次:原轮那一抽是最小的** | 效应 −0.2000 ± 0.0096(20.8×,逐位复现);原轮 seed 9 给 **−0.00035 = 效应的 0.2%**;20 抽范围 **0.2% .. 11.4%**,实现 sd = 效应的 **5.5%** |"
19.8×,"| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只","**全部 gate 通过**(阶梯写法修正后):偏离与早熟度不相关(+0.0227);打乱零是效应的 **0%**;种植阶梯单调 [+0.0804, +0.2148];种植 0.8 年被测出,余量 +0.1945;真实斜率 **19.8× 自身展布**。"
3.5×,"| **而且这个记忆畸变随时间加深,十五年里几乎翻倍** | 15 岁组 −0.0505 → 30 岁组 −0.0917,年龄趋势 **3.5×**;残余伪影**符号相反**,校正",| 线性种植(衰退) | −0.00457 (3.5×) | −0.03102 | **+0.15 ± 0.04** |
