token,cls,why,line
+0.0206,②证据缺口,"账本 2 行提到,但都不带限定语","item-neighbour structure recovers **+0.0206** held-out R² over a marginals base, against the person"
71%,①搬运缺口,账本 1 行带限定语,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on"
+0.0006,①搬运缺口,账本 1 行带限定语,"factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on"
+0.0289,②证据缺口,"账本 5 行提到,但都不带限定语","factors' **+0.0289** and a random-neighbour control's **+0.0006** — **71% of the person margin**, on"
67%,①搬运缺口,账本 1 行带限定语,"578,989 held-out cells. **[#58]** Fitted jointly, the two are **67% the same structure**: combined increment +"
+0.0293,②证据缺口,"账本 3 行提到,但都不带限定语","578,989 held-out cells. **[#58]** Fitted jointly, the two are **67% the same structure**: combined increment +"
+0.0359,②证据缺口,"账本 2 行提到,但都不带限定语","578,989 held-out cells. **[#58]** Fitted jointly, the two are **67% the same structure**: combined increment +"
25%,①搬运缺口,账本 1 行带限定语,"anonymised, with correlations attenuated roughly 25% by design · every measure self-report."
26.6×,①搬运缺口,账本 1 行带限定语,"| **性偏好的「什么」是个人的,「何时」不是** | 同一批人、同一种劈分、同一个单位数 k:**「你喜欢多罕见的东西」分半信度 0.57–0.67**,**「你的罕见兴趣比时间表早多少」只有 0.055–0.108*"
+0.5321,①搬运缺口,账本 1 行带限定语,"| **性偏好的「什么」是个人的,「何时」不是** | 同一批人、同一种劈分、同一个单位数 k:**「你喜欢多罕见的东西」分半信度 0.57–0.67**,**「你的罕见兴趣比时间表早多少」只有 0.055–0.108*"
10.4×,①搬运缺口,账本 1 行带限定语,"| **性偏好的「什么」是个人的,「何时」不是** | 同一批人、同一种劈分、同一个单位数 k:**「你喜欢多罕见的东西」分半信度 0.57–0.67**,**「你的罕见兴趣比时间表早多少」只有 0.055–0.108*"
13×,②证据缺口,"账本 2 行提到,但都不带限定语","| **稀有偏好是一条所有人都在上面的连续维度,不是一群特殊的人** | 分布对称加宽:上尾挑更罕见的,下尾挑更常见的,**中位数纹丝不动**,两侧各 11–13× 自身自助 sd | `#99` |"
8.8×,①搬运缺口,账本 1 行带限定语,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.0328**,题内跨人置换零 +0.0018"
+0.07,①搬运缺口,账本 3 行带限定语,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.0328**,题内跨人置换零 +0.0018"
-0.0328,①搬运缺口,账本 1 行带限定语,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.0328**,题内跨人置换零 +0.0018"
+0.0018,①搬运缺口,账本 1 行带限定语,"| **一个人自己那些别人很少有的兴趣,排在他自己那些大家都有的兴趣前面** | 扣掉人群共享的时间表和这个人整体的早熟之后,人内「起始年龄残差 × 类别稀有度」= **−0.0328**,题内跨人置换零 +0.0018"
9.0×,②证据缺口,"账本 3 行提到,但都不带限定语","| **版图真正的主分界线不是""先来后到"",是""物件 vs 叙事""** | 6 个连贯分割 × 11 个非性变量的整格,最大统计量零给出全族阈值 0.0560。**PC4 点亮 6 个变量,最强一格 9.0×**:一侧是"
+0.0593,②证据缺口,"账本 1 行提到,但都不带限定语","| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)确实只锚住晚族 ——"
-0.0441,②证据缺口,"账本 1 行提到,但都不带限定语","| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)确实只锚住晚族 ——"
0.7×,②证据缺口,"账本 1 行提到,但都不带限定语","| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)确实只锚住晚族 ——"
2.8×,②证据缺口,"账本 3 行提到,但都不带限定语","| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)确实只锚住晚族 ——"
+0.0706,②证据缺口,"账本 1 行提到,但都不带限定语","| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)确实只锚住晚族 ——"
4.1×,②证据缺口,"账本 1 行提到,但都不带限定语","| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)确实只锚住晚族 ——"
+0.0816,②证据缺口,"账本 1 行提到,但都不带限定语","| **性别锚住的是""性""本身,不是其中某一族** | 早族 +0.0706 vs 晚族 +0.0816,差 **0.7×**。而开放性(+0.0593,4.1×)与无力感(−0.0441,2.8×)确实只锚住晚族 ——"
15.2×,②证据缺口,"账本 1 行提到,但都不带限定语","| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.00484(15.2×)。"
+0.0210,②证据缺口,"账本 3 行提到,但都不带限定语","| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.00484(15.2×)。"
23.1×,①搬运缺口,账本 1 行带限定语,"| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.00484(15.2×)。"
-0.0127,②证据缺口,"账本 1 行提到,但都不带限定语","| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.00484(15.2×)。"
27.9×,②证据缺口,"账本 1 行提到,但都不带限定语","| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.00484(15.2×)。"
31%,②证据缺口,"账本 6 行提到,但都不带限定语","| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.00484(15.2×)。"
-0.0048,②证据缺口,"账本 2 行提到,但都不带限定语","| **早来的东西是散的,晚来的东西是一整套** | 人内置换零下的三个块:早×早 **−0.01272(27.9×)** · **晚×晚 +0.02103(23.1×)** · 晚×早 −0.00484(15.2×)。"
4.5%,②证据缺口,"账本 1 行提到,但都不带限定语","| **性版图在青春期结束时就基本定型** | 29–32 岁的人,自己报告的性兴趣有 **68.4% 是 17 岁前获得的**,最晚的那一个平均在 **22.6 岁**(人内测量,不依赖横断面假设)。横断面上 15 年"
68.4%,②证据缺口,"账本 4 行提到,但都不带限定语","| **性版图在青春期结束时就基本定型** | 29–32 岁的人,自己报告的性兴趣有 **68.4% 是 17 岁前获得的**,最晚的那一个平均在 **22.6 岁**(人内测量,不依赖横断面假设)。横断面上 15 年"
+0.05,①搬运缺口,账本 11 行带限定语,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +"
3.1×,①搬运缺口,账本 5 行带限定语,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +"
100%,①搬运缺口,账本 2 行带限定语,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +"
91%,①搬运缺口,账本 1 行带限定语,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +"
17%,②证据缺口,"账本 2 行提到,但都不带限定语","| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +"
-0.0417,②证据缺口,"账本 4 行提到,但都不带限定语","| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +"
-0.0459,①搬运缺口,账本 1 行带限定语,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +"
39%,①搬运缺口,账本 1 行带限定语,"| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +"
+0.5878,②证据缺口,"账本 1 行提到,但都不带限定语","| **越是最终口味罕见的人,这个提前量越大** | −0.0459;**按答题类别数卡钳 1:1 匹配后 −0.0417(3.1×,保留 91%)**,三个匹配规格 85–100% 一致,置换零 17%,种植正对照 +"
+0.141,②证据缺口,"账本 1 行提到,但都不带限定语","| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023** —— 它不是一般性的求新。**零的强度已量化**(`#154"
+0.093,①搬运缺口,账本 4 行带限定语,"| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023** —— 它不是一般性的求新。**零的强度已量化**(`#154"
+0.023,①搬运缺口,账本 5 行带限定语,"| **它唯一挂得住的外部锚是性别** | +0.093(去衰减 +0.141)。人格五因素全部 \|r\| ≤ 0.056,**开放性只有 +0.023** —— 它不是一般性的求新。**零的强度已量化**(`#154"
5.5%,①搬运缺口,账本 1 行带限定语,"| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那一抽是 20 抽里最"
-0.2000,①搬运缺口,账本 1 行带限定语,"| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那一抽是 20 抽里最"
19.8×,①搬运缺口,账本 1 行带限定语,"| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那一抽是 20 抽里最"
11%,②证据缺口,"账本 1 行提到,但都不带限定语","| **人把最爱的性兴趣记得更早,约九个月** | −0.2000 年/评分标准差(**19.8× SE**),同类别内打乱零 = 效应的 **0–11%**(`#153`:原轮只抽了**一次**,那一抽是 20 抽里最"
3.5×,①搬运缺口,账本 2 行带限定语,"| **而且这个记忆畸变随时间加深,十五年里几乎翻倍** | 15 岁组 −0.0505 → 30 岁组 −0.0917,年龄趋势 **3.5×**;残余伪影**符号相反**,校正只会放大。**它不是在回答问卷那一刻生成"
-0.0505,②证据缺口,"账本 2 行提到,但都不带限定语","| **而且这个记忆畸变随时间加深,十五年里几乎翻倍** | 15 岁组 −0.0505 → 30 岁组 −0.0917,年龄趋势 **3.5×**;残余伪影**符号相反**,校正只会放大。**它不是在回答问卷那一刻生成"
-0.0917,②证据缺口,"账本 2 行提到,但都不带限定语","| **而且这个记忆畸变随时间加深,十五年里几乎翻倍** | 15 岁组 −0.0505 → 30 岁组 −0.0917,年龄趋势 **3.5×**;残余伪影**符号相反**,校正只会放大。**它不是在回答问卷那一刻生成"
3.1×,①搬运缺口,账本 5 行带限定语,"| **而其余偏好被拉向先来的那一个** | 位移 **+0.0339,3.1×**,68 对里 46 对为正,生成式正对照单调开火。⚠ **加倍样本并没有加强它**(3.093 → 3.048),而源码里那句""加强成功"
+0.0339,①搬运缺口,账本 1 行带限定语,"| **而其余偏好被拉向先来的那一个** | 位移 **+0.0339,3.1×**,68 对里 46 对为正,生成式正对照单调开火。⚠ **加倍样本并没有加强它**(3.093 → 3.048),而源码里那句""加强成功"
-0.135,②证据缺口,"账本 1 行提到,但都不带限定语","| ""域一般胜过域特异,186/276"" | **反转:0 一般 / 201 特异** | 那 186 是我给域特异侧的 −0.135 估计器坑 `#82` |"
1.05×,②证据缺口,"账本 3 行提到,但都不带限定语","| ""三个成分一样大(可预测性上),1.05×"" | **撤回** | 减零不修正估计器,它把估计器的失败记在被估计量头上 `#86` `#87` `#88` |"
10%,①搬运缺口,账本 4 行带限定语,"| ""越早进入版图的东西越在中心"" | **撤回,只剩 10%** | 那不是时间,是""什么都给高分的人"" `#115` |"
-0.030,①搬运缺口,账本 2 行带限定语,"| ""特质追踪更早的获取年龄"" | **撤回** | −0.030 对零 −0.028,零是效应的 91% `#102` |"
91%,①搬运缺口,账本 1 行带限定语,"| ""特质追踪更早的获取年龄"" | **撤回** | −0.030 对零 −0.028,零是效应的 91% `#102` |"
-0.028,①搬运缺口,账本 1 行带限定语,"| ""特质追踪更早的获取年龄"" | **撤回** | −0.030 对零 −0.028,零是效应的 91% `#102` |"
0.3×,①搬运缺口,账本 2 行带限定语,"| 区分记忆变模糊与故事被讲实 | 真实曲率 **0.3×**,推到 2× 需约 **48 倍**样本 `#120` |"
48×,①搬运缺口,账本 1 行带限定语,"| 区分记忆变模糊与故事被讲实 | 真实曲率 **0.3×**,推到 2× 需约 **48 倍**样本 `#120` |"
2×,①搬运缺口,账本 12 行带限定语,"| 区分记忆变模糊与故事被讲实 | 真实曲率 **0.3×**,推到 2× 需约 **48 倍**样本 `#120` |"
25%,①搬运缺口,账本 1 行带限定语,"横断面 · 一个仪器 · 一个人群(18–32 岁,美加欧)· 重度匿名化,相关按设计被衰减约 25% ·"
